ID,Comune,Classe-priorità,X,Y
AQ0010001,Acciano,2,13.717226151142714,42.175003166897049
AQ0010002,Acciano,4,13.654069520355183,42.204925221722398
AQ0020001,Aielli,2,13.590706720907846,42.078956244052243
AQ0020002,Aielli,2,13.582052773384138,42.060414448944947
AQ0020003,Aielli,2,13.584508493094539,42.061939766385287
AQ0020004,Aielli,2,13.590534531136395,42.079089213910763
AQ0030001,Alfedena,2,14.027878182600594,41.733480780932972
AQ0040001,Anversa degli Abruzzi,2,13.800951634734529,41.999535843995936
AQ0040002,Anversa degli Abruzzi,3,13.800479339566923,41.992542152033252
AQ0040003,Anversa degli Abruzzi,2,13.797951002141369,41.997946389125801
AQ0060001,Avezzano,2,13.426104416904069,42.028570040191539
AQ0060002,Avezzano,2,13.4781350648559,42.058721798424827
AQ0060003,Avezzano,3,13.43220484271224,42.022160444120182
AQ0060004,Avezzano,2,13.433302367307423,42.037476361925691
AQ0060005,Avezzano,2,13.458579897860758,42.050796502110074
AQ0060006,Avezzano,2,13.478265547130112,42.058318266525077
AQ0060007,Avezzano,2,13.429249251598446,42.03134194625094
AQ0060008,Avezzano,2,13.460343752460139,42.051810846425738
AQ0060009,Avezzano,2,13.437726669165453,41.988986501265643
AQ0060010,Avezzano,2,13.417342014718436,42.038022546339967
AQ0060011,Avezzano,3,13.40563321280211,42.065634487955542
AQ0060012,Avezzano,2,13.45101896106976,42.085438925352229
AQ0060013,Avezzano,2,13.424636792163218,42.035664480692624
AQ0060014,Avezzano,1,13.418672981242832,42.039887084684445
AQ0060015,Avezzano,2,13.427094030709526,42.033996126562421
AQ0060016,Avezzano,2,13.424869614857856,42.041890687372231
AQ0060017,Avezzano,2,13.424097389901885,42.032559060682352
AQ0060018,Avezzano,3,13.417517706651594,42.023147371331056
AQ0060019,Avezzano,2,13.424993722176074,42.027077828982904
AQ0060020,Avezzano,2,13.431510930647564,42.034669059637558
AQ0060021,Avezzano,2,13.426290377624992,42.029356102962495
AQ0060022,Avezzano,2,13.429820808841864,42.038059125699107
AQ0060023,Avezzano,2,13.425257694792577,42.030575717436548
AQ0060024,Avezzano,2,13.441183983076199,42.036782304893237
AQ0060025,Avezzano,1,13.419094128588707,42.03995594165356
AQ0060026,Avezzano,2,13.422789670892223,42.0292629550909
AQ0060027,Avezzano,2,13.424988465969363,42.027780207475239
AQ0060028,Avezzano,2,13.426456978428826,42.051485630152243
AQ0060029,Avezzano,2,13.418306059439885,42.044447978205433
AQ0060030,Avezzano,2,13.423146212743909,42.035364805219629
AQ0060031,Avezzano,2,13.418153831960375,42.048633623017004
AQ0060032,Avezzano,3,13.428818277658472,42.021861899797571
AQ0060033,Avezzano,2,13.388874460897275,42.022901517037191
AQ0060034,Avezzano,2,13.457242764112562,42.045131862471571
AQ0060035,Avezzano,2,13.423072529190179,42.025637495331694
AQ0060036,Avezzano,3,13.484423252515665,42.048385391383093
AQ0060037,Avezzano,2,13.435174123311612,42.020760083835818
AQ0060038,Avezzano,3,13.446372352434228,42.015211711836251
AQ0060039,Avezzano,3,13.415047532517336,42.03992706261775
AQ0060040,Avezzano,3,13.437667069990134,42.022532218278869
AQ0060041,Avezzano,2,13.432484298660992,42.000442308340972
AQ0060042,Avezzano,2,13.429832302671851,41.998794004176112
AQ0060043,Avezzano,2,13.42954437323171,41.997736390553996
AQ0060044,Avezzano,2,13.430777082252439,41.997194910651288
AQ0060045,Avezzano,2,13.431190475761964,41.996092861110398
AQ0060046,Avezzano,2,13.433014790538561,41.993578186799112
AQ0060047,Avezzano,2,13.434014178914042,41.992700271359574
AQ0060048,Avezzano,4,13.433680736660449,41.992020291593192
AQ0060049,Avezzano,4,13.434217475185703,41.991793467564072
AQ0060050,Avezzano,4,13.434325265438456,41.991335650050139
AQ0060051,Avezzano,2,13.432419447201031,41.990778271786269
AQ0060052,Avezzano,2,13.435704352803969,41.988751810807685
AQ0060053,Avezzano,4,13.436815212009245,41.997628592902785
AQ0060054,Avezzano,2,13.4397833139389,41.993751522890818
AQ0060055,Avezzano,2,13.440315210709091,42.002629395158102
AQ0060056,Avezzano,4,13.443014358428472,42.002359878222784
AQ0060057,Avezzano,2,13.432101264983146,42.005228110083799
AQ0060058,Avezzano,2,13.432471706287501,42.005386271847577
AQ0060059,Avezzano,2,13.431684281259127,41.995649332026851
AQ0060060,Avezzano,2,13.42725208195159,41.997668953304597
AQ0060061,Avezzano,2,13.428733819225251,41.996329402868689
AQ0060062,Avezzano,4,13.432811472228657,41.994484989393968
AQ0060063,Avezzano,2,13.433026503443219,42.002457996570108
AQ0060064,Avezzano,2,13.433062302856706,42.006907302091072
AQ0060065,Avezzano,2,13.474921393131103,42.056157449216705
AQ0060066,Avezzano,2,13.494024630818229,42.050114997746412
AQ0060067,Avezzano,2,13.429772617619067,41.998766167409862
AQ0060068,Avezzano,2,13.459361274780466,42.033957107183952
AQ0070001,Balsorano,2,13.588754007963054,41.772823238472164
AQ0070002,Balsorano,4,13.558853524397861,41.807873532012799
AQ0070003,Balsorano,8,13.600529399722603,41.771310134770005
AQ0070004,Balsorano,4,13.607898122549976,41.787178671057525
AQ0070005,Balsorano,2,13.560589058419247,41.808318598988002
AQ0070006,Balsorano,4,13.561544573740827,41.806502311938928
AQ0070007,Balsorano,2,13.56259690780319,41.804660203593834
AQ0070008,Balsorano,2,13.559627359052605,41.8061090181548
AQ0090001,Barisciano,2,13.590611547791882,42.323451665851273
AQ0090002,Barisciano,2,13.529637040612506,42.330961364957311
AQ0110001,Bisegna,2,13.757483702646395,41.940659404090681
AQ0110002,Bisegna,2,13.756282957235539,41.919274637676715
AQ0120001,Bugnara,2,13.854591292386226,42.022013780385599
AQ0120002,Bugnara,2,13.863391949319361,42.020903496075093
AQ0120003,Bugnara,2,13.860372978671355,42.020873546978407
AQ0120004,Bugnara,2,13.859324954464203,42.020719029029166
AQ0120005,Bugnara,2,13.866982249555408,42.028206938614311
AQ0120006,Bugnara,2,13.833537595879395,42.014821925057099
AQ0120007,Bugnara,3,13.833409384893752,42.014568448993231
AQ0120008,Bugnara,2,13.833400932569937,42.014370230636736
AQ0120009,Bugnara,3,13.85933896331211,42.020611098554767
AQ0120010,Bugnara,3,13.862536648688724,42.02077793329147
AQ0120011,Bugnara,3,13.866876599405597,42.042309456246734
AQ0120012,Bugnara,3,13.858391449549716,42.028337926898239
AQ0120013,Bugnara,2,13.834433717721566,42.016010830775407
AQ0120014,Bugnara,2,13.850115781711954,42.025058112968331
AQ0120015,Bugnara,4,13.869475849965589,42.034724947509346
AQ0130001,Cagnano Amiterno,3,13.229476303559972,42.454097310671941
AQ0130002,Cagnano Amiterno,3,13.22991452615917,42.456670569122679
AQ0130003,Cagnano Amiterno,2,13.231491395530899,42.45120174092515
AQ0140001,Calascio,4,13.697450753272566,42.324202855803797
AQ0140002,Calascio,2,13.696265057805908,42.324027279067067
AQ0150001,Campo di Giove,4,14.039841359763518,42.006386854361317
AQ0150002,Campo di Giove,2,14.040396612550575,42.006400520818829
AQ0150003,Campo di Giove,2,14.04236550748252,42.009578182249626
AQ0150004,Campo di Giove,3,14.06798713755413,41.991597007735621
AQ0150005,Campo di Giove,3,14.048321892026877,42.009375666478732
AQ0160001,Campotosto,2,13.36693088458078,42.555880575296229
AQ0160002,Campotosto,3,13.368398692565528,42.557513390170683
AQ0160003,Campotosto,2,13.346381311102338,42.526409293106113
AQ0170001,Canistro,2,13.398185297565014,41.939142363436915
AQ0170002,Canistro,4,13.398955337484262,41.939702484994321
AQ0170003,Canistro,4,13.407940157092131,41.939287142638051
AQ0170004,Canistro,2,13.408577735901529,41.941781660598963
AQ0180001,Cansano,4,14.021663801113906,41.996425430518663
AQ0180002,Cansano,2,14.022014296944002,41.996401406153211
AQ0180003,Cansano,2,14.021390842054325,41.996116895830042
AQ0190001,Capestrano,3,13.767696827524418,42.264929857862072
AQ0200001,Capistrello,3,13.388168432963315,41.963282329654668
AQ0200002,Capistrello,3,13.389346036857869,41.963478995800401
AQ0200003,Capistrello,2,13.387035729021585,41.964176016798923
AQ0200004,Capistrello,2,13.399894805577258,41.977369774548485
AQ0210001,Capitignano,2,13.263234267586233,42.521783776676308
AQ0210002,Capitignano,2,13.254596816417132,42.519383181804578
AQ0210003,Capitignano,2,13.254115102713113,42.519195734353808
AQ0210004,Capitignano,4,13.253619216830264,42.519080120456387
AQ0210005,Capitignano,4,13.299209229080988,42.515461727012728
AQ0210006,Capitignano,4,13.299481313874034,42.515303679721242
AQ0210007,Capitignano,4,13.299102680038722,42.519836639668696
AQ0220001,Caporciano,4,13.669759491292076,42.250317449914455
AQ0220002,Caporciano,4,13.656602293976047,42.242572034640524
AQ0220003,Caporciano,2,13.655983176314248,42.242618805113302
AQ0230001,Cappadocia,2,13.28189817567009,42.015694011533135
AQ0230002,Cappadocia,4,13.282081922312006,42.015597699131199
AQ0230003,Cappadocia,4,13.279148368055354,42.004809715139409
AQ0240001,Carapelle Calvisio,3,13.681467028468253,42.297507609938485
AQ0250001,Carsoli,2,13.084968103109253,42.097941272334452
AQ0250002,Carsoli,2,13.085047016676292,42.098131704455469
AQ0250003,Carsoli,2,13.082334161175892,42.094258994106447
AQ0250004,Carsoli,2,13.113141919942125,42.090636352695405
AQ0250005,Carsoli,2,13.095461042436108,42.083905098106733
AQ0250006,Carsoli,2,13.127413064420358,42.133214546476864
AQ0250007,Carsoli,2,13.110413341404962,42.153576428508067
AQ0250008,Carsoli,2,13.157139322055171,42.0952691182612
AQ0250009,Carsoli,2,13.051012934733171,42.108212037255505
AQ0250010,Carsoli,4,13.059142695040647,42.094256179691186
AQ0250012,Carsoli,2,13.054328594766451,42.094705958846241
AQ0250013,Carsoli,2,13.052657167498166,42.095587158100422
AQ0250014,Carsoli,2,13.061392740309651,42.093825939513664
AQ0250016,Carsoli,4,13.063593175256617,42.091845849825901
AQ0250017,Carsoli,4,13.057463416657225,42.087473573710852
AQ0250018,Carsoli,2,13.055874637202885,42.087635783038515
AQ0250019,Carsoli,2,13.064910379066248,42.086302600967564
AQ0250020,Carsoli,2,13.062616910811983,42.086182845798064
AQ0250022,Carsoli,4,13.060656259287859,42.084663773415656
AQ0250023,Carsoli,4,13.060319520297442,42.083019044981071
AQ0250024,Carsoli,2,13.064625453023124,42.084937931550961
AQ0250025,Carsoli,2,13.064589787909304,42.085315569830684
AQ0250026,Carsoli,2,13.053637363285899,42.088840610323714
AQ0250027,Carsoli,2,13.053089414851051,42.089362644518701
AQ0250028,Carsoli,2,13.054306229499979,42.091877828891811
AQ0260001,Castel del Monte,4,13.725455228203854,42.362916569240305
AQ0260002,Castel del Monte,2,13.723154443052399,42.363197162915291
AQ0260003,Castel del Monte,2,13.723232133973475,42.36355824247417
AQ0270001,Castel di Ieri,2,13.741200384362951,42.108949337744527
AQ0270002,Castel di Ieri,2,13.740546329072169,42.113274004183729
AQ0280001,Castel di Sangro,2,14.192017095206545,41.763376411090071
AQ0280002,Castel di Sangro,2,14.107431506151325,41.779304178084061
AQ0280003,Castel di Sangro,2,14.190979004355794,41.763657312575987
AQ0280004,Castel di Sangro,3,14.144287748457797,41.791968987381367
AQ0280005,Castel di Sangro,2,14.098604691024549,41.775497443478606
AQ0280006,Castel di Sangro,3,14.110849301444267,41.776655720787971
AQ0280007,Castel di Sangro,3,14.110512559411594,41.776644109938083
AQ0280008,Castel di Sangro,2,14.110342382937898,41.776768881894021
AQ0280009,Castel di Sangro,2,14.115237692235382,41.774275842630374
AQ0280010,Castel di Sangro,2,14.105260105448759,41.781430854290356
AQ0280011,Castel di Sangro,3,14.136647887229097,41.79985563767206
AQ0280012,Castel di Sangro,2,14.105984267568424,41.781274381642355
AQ0280013,Castel di Sangro,2,14.136840816414558,41.799830071145657
AQ0280014,Castel di Sangro,3,14.106948776510347,41.783740698379212
AQ0290001,Castellafiume,2,13.33044146314039,41.987276788026897
AQ0290002,Castellafiume,3,13.33361412823537,41.986431363994569
AQ0290003,Castellafiume,2,13.318247322968555,42.003408068927904
AQ0300001,Castelvecchio Calvisio,2,13.684690836736904,42.30988243533406
AQ0310001,Castelvecchio Calvisio,2,13.728728930904708,42.12840866378113
AQ0310002,Castelvecchio Calvisio,2,13.719819564903249,42.120249237083677
AQ0310003,Castelvecchio Calvisio,2,13.727826737742497,42.131775881088402
AQ0320001,Celano,4,13.537537143371818,42.072220486499276
AQ0320002,Celano,3,13.534397097392503,42.071576976200802
AQ0320003,Celano,3,13.548204721109522,42.082550705788933
AQ0320004,Celano,4,13.545686928091268,42.08004218918969
AQ0320005,Celano,4,13.544607824496634,42.084414310978516
AQ0320006,Celano,4,13.547535245243022,42.079038964251538
AQ0320007,Celano,2,13.53066134972075,42.043295801221468
AQ0320008,Celano,,13.544808913187291,41.993537939526782
AQ0330001,Cerchio,2,13.599166867041191,42.062011648072314
AQ0330002,Cerchio,2,13.59877768340983,42.064321425321999
AQ0330003,Cerchio,2,13.599298012933158,42.063193025592554
AQ0340001,Civita D'antino,2,13.469477351269434,41.883998461761898
AQ0340002,Civita D'antino,2,13.46976524411061,41.884560675938587
AQ0340003,Civita D'antino,2,13.470833470994311,41.88474602144867
AQ0340004,Civita D'antino,1,13.470918603495077,41.883702457600975
AQ0340005,Civita D'antino,2,13.45791832815571,41.870001428524397
AQ0340006,Civita D'antino,2,13.453705565104595,41.878815733059128
AQ0340007,Civita D'antino,2,13.453453876812183,41.8787583088167
AQ0340008,Civita D'antino,2,13.452633045714469,41.877315278171572
AQ0360001,Civitella Roveto,2,13.426439538442672,41.910515742325181
AQ0360002,Roveto,2,13.425394880596897,41.912302631071398
AQ0370001,Cocullo,2,13.775648836674529,42.03960688931344
AQ0370002,Cocullo,2,13.776528171842047,42.040372775251242
AQ0370003,Cocullo,2,13.775307709565627,42.039125925576087
AQ0370004,Cocullo,3,13.787356260738965,42.013523572447035
AQ0370005,Cocullo,4,13.776881048534934,42.040871872806903
AQ0370006,Cocullo,2,13.776752840402867,42.04062734382665
AQ0380001,Collarmele,4,13.625020914941739,42.061315820722832
AQ0380002,Collarmele,3,13.6253942444913,42.058015103586349
AQ0380003,Collarmele,3,13.624903205427215,42.058369459743403
AQ0390001,Collelongo,2,13.581477979768966,41.883960387656991
AQ0390002,Collelongo,2,13.577565448342051,41.896259458238845
AQ0400001,Collepietro,2,13.779602120849859,42.21968656702601
