Id_Regione;Id_Unità;Provincia;Comune;Categoria;Tipologia;Descrizione materiali;A - Friabilità;B - Uso pubblico;C - Accessibilità;D - Presenza di confinamento;I1 - Quantità di materiale stimato;Peso stimato friabile (kg);Peso stimato compatto (kg);I2 - Presenza di un programma di manutenzione e controllo;I3 - Attività;I4 - Presenza di cause che creano o favoriscono la dispersione di fibre;I5 - Concentrazione di fibre aerodisperse (ff/l);I6 - Area di estensione del sito (m2);Effettiva area perimetrale (m2);I7 - Superficie esposta allaria;Effettiva superficie con amianto friabile (m2);Effettiva superficie con amianto compatto (m2);I8 - Coinvolgimento del sito in lavori di urbanizzazione;I9 - Stato di conservazione delle strutture;I10 - Tempo trascorso dalla dismissione (anni);Data dismissione (gg-mm-aaaa);I11 - Tipologia di amianto presente;I12 - Dati epidemiologici;I13 - Frequenza di utilizzo;I14 - Distanza dal centro urbano(m);Distanza dal centro urbano (km);I15 - Densità di popolazione;I16 - Età media dei soggetti frequentatori (anni);Tipo di bonifica;Tipo di intervento;Costi totali stimati dell’intervento (€);Fondi locali/regionali assegnati;Fondi da richiedere;Classe di priorità;Coefficiente di priorità;Punteggio mappatura;Coordinate X (WGS84-UTM fuso 32);Coordinate Y (WGS84-UTM fuso 32)
113;1666;BZ;BRESSANONE;2;Impianti sportivi;copertura;1;2,5;2,5;2,5;10;;850;1;1;1;2;9;;5;;50;1;5;1;;1;1;20;5;;4;2;A;;750;;750;2;0,8;862,8;703036,65;5177648,19
113;1668;BZ;BOLZANO;2;Edifici residenziali;camino;1;1;1;2,5;5;;75;1;1;1;2;3;;5;;;1;5;1;;1;1;20;5;;4;2;A;;66;;66;4;0,4;216;679971,36;5151904,53
113;1669;BZ;TIROLO;2;Edifici artigianali e di servizi;copertura;1;1;1;2,5;10;;1020;1;1;1;2;3;;5;;60;1;5;1;;1;1;20;3;;2;2;A;;900;;900;4;0,4;178,2;665529,27;5171491,99
113;1670;BZ;LANA;2;Edifici residenziali;copertura;1;1;1;2,5;10;;680;1;1;1;2;3;;5;;40;1;5;1;;1;1;20;5;;4;2;A;;600;;600;4;0,4;237;665908,29;5164047,51
113;1673;BZ;LAIVES;2;Edifici artigianali e di servizi;copertura;1;1;1;2,5;10;;680;1;1;1;2;5;;5;;40;1;5;1;;1;1;20;5;;4;2;A;;600;;600;4;0,4;245,4;678959,42;5143092,31
113;1674;BZ;VAL DI VIZZE;2;Edifici artigianali e di servizi;copertura;1;1;1;2,5;15;;10030;1;1;1;2;5;;8;;590;1;5;1;;1;1;20;5;;4;2;A;;8846;;8846;4;0,4;279;686331,5;5196014,13
113;1675;BZ;MERANO;2;Edifici residenziali;tubazione;1;1;1;1;5;;100;1;1;1;2;5;;5;;;1;30;1;;1;1;20;5;;4;2;C;C;88;;88;5;0,3;164,7;665513,21;5170661,29
113;1676;BZ;LAION;2;Edifici residenziali;copertura;1;1;1;2,5;10;;8500;1;1;1;2;5;;5;;500;1;5;1;;1;1;20;1;;2;2;A;;7497;;7497;4;0,4;169,8;696398,01;5164083,06
113;1677;BZ;LAION;2;Edifici residenziali;copertura interna;1;1;1;2,5;10;;850;1;1;1;2;5;;5;;50;1;5;1;;1;1;20;1;;2;2;A;;750;;750;4;0,4;169,8;696431,04;5164064,31
113;1678;BZ;LAION;2;Edifici residenziali;copertura;1;1;1;2,5;10;;850;1;1;1;2;5;;5;;50;1;5;1;;1;1;20;1;;2;2;A;;750;;750;4;0,4;169,8;696393,48;5164065,69
113;1680;BZ;VAL DI VIZZE;2;Edifici residenziali;copertura;1;1;1;2,5;10;;765;1;1;1;2;5;;5;;45;1;5;1;;1;1;20;3;;2;2;A;;675;;675;4;0,4;186,6;686750,22;5197160,31
113;1681;BZ;BRUNICO;2;Edifici residenziali;tubazione;1;1;1;1;5;;340;1;1;1;2;5;;5;;;1;5;1;;1;1;20;5;;4;2;C;B;300;;300;5;0,3;119,7;725012,76;5186656,76
113;1682;BZ;TIRES;2;Edifici residenziali;copertura;1;1;1;2,5;10;;816;1;1;1;2;5;;5;;48;1;5;1;;1;1;20;5;;4;2;A;;720;;720;4;0,4;245,4;694385,9;5148942,88
113;1685;BZ;BOLZANO;2;Scuole di ogni ordine e grado;pavimento;1;2,5;2,5;1;10;;6150;1;1;1;2;5;;5;;361;1;5;1;;1;1;20;5;;4;10;C;C;5424;;5424;5;0,3;291,6;679474,27;5152654,17
113;1684;BZ;BOLZANO;2;Scuole di ogni ordine e grado;rifiuto;1;2,5;1;1;15;;26180;1;1;1;2;5;;5;;1540;1;5;1;;1;1;20;5;;4;10;C;C;23091;;23091;5;0,3;235,8;679659,8;5152590,96
113;1686;BZ;BOLZANO;2;Scuole di ogni ordine e grado;altro;1;2,5;1;1;15;;15300;1;1;1;2;5;;5;;900;1;5;1;;1;1;20;5;;4;10;C;C;13495;;13495;5;0,3;235,8;680018,51;5152944,3
113;1687;BZ;BRESSANONE;2;Edifici residenziali;copertura;1;1;1;1;15;;11339;1;1;1;2;3;;8;;667;1;5;1;;1;1;20;5;;4;2;C;C;10001;;10001;5;0,3;139,5;702326,28;5177655,6
113;1690;BZ;SILANDRO;2;Scuole di ogni ordine e grado;pavimento;1;2,5;1;1;10;;8475;1;1;1;2;9;;5;;498;1;5;1;;1;1;20;5;;4;10;C;C;7475;;7475;5;0,3;234;635550,58;5165679,89
113;1688;BZ;BRESSANONE;2;Ospedali e case di cura;pavimento;1;1;1;1;15;;39504;1;1;1;2;5;;5;;2323;1;5;1;;1;1;20;5;;4;2;C;C;34843;;34843;5;0,3;137,7;702815,95;5177097,11
113;1689;BZ;BRUNICO;2;Edifici agricoli e loro pertinenze;copertura;1;1;1;1;15;;31945;1;1;1;2;9;;8;;1880;1;5;1;;1;1;20;5;;4;2;C;C;28175;;28175;5;0,3;150,3;725765,89;5187386,34
113;1691;BZ;SILANDRO;2;Scuole di ogni ordine e grado;pavimento;1;1;1;1;10;;1162;1;1;1;2;9;;5;;97;1;5;1;;1;1;20;5;;4;10;C;C;1025;;1025;5;0,3;150,3;635152,91;5165208,99
113;1692;BZ;MERANO;2;Mezzi di trasporto;copertura;1;1;1;2,5;10;;3740;1;1;1;2;9;;5;;220;1;5;1;;1;1;20;1;;2;2;A;;3299;;3299;4;0,4;186,6;665615,1;5167972,52
113;1693;BZ;MERANO;2;Mezzi di trasporto;copertura;1;1;1;2,5;5;;170;1;1;1;2;9;;5;;10;1;5;1;;1;1;20;1;;2;2;A;;150;;150;4;0,4;165,6;665611,35;5167959,59
113;1694;BZ;CERMES;2;Edifici residenziali;copertura;1;1;1;2,5;5;;170;1;1;1;2;3;;5;;10;1;5;1;;1;1;20;5;;4;2;A;;150;;150;4;0,4;216;664305,51;5166894,91
113;1695;BZ;SALORNO;2;Edifici residenziali;copertura;1;1;1;2,5;5;;170;1;1;1;2;5;;5;;10;1;5;1;;1;1;20;3;;2;2;A;;150;;150;4;0,4;165,6;676067,19;5127154,91
113;1696;BZ;SALORNO;2;Edifici residenziali;copertura;1;1;1;2,5;5;;136;1;1;1;2;5;;5;;8;1;5;1;;1;1;20;3;;2;2;A;;120;;120;4;0,4;165,6;676058,46;5127175,72
113;1699;BZ;BRESSANONE;2;Edifici residenziali;copertura;1;1;1;1;10;;680;1;1;1;2;3;;5;;40;1;5;1;;1;1;20;5;;4;2;C;C;600;;600;5;0,3;125,1;704903,5;5174959,37
