"ID_Unità";"Provincia";"Comune";"Categoria";"Tipologia";"Descrizion";"Descrizi_1";"A - Friabi";"B - Uso pu";"C - Access";"D - Presen";"I1 - Quant";"Peso stima";"Peso sti_1";"I2 -
Prese";"I3 - Attiv";"I4 - 
Pres";"I5 - Conce";"I6 - 
Area";"? Effettiv";"I7 - 
Supe";"Effettiva";"Effettiv_1";"I8 - Coinv";"I9 - 
Stat";"I10 - 
Tem";"Data dismi";"I11 - 
Tip";"I12 - 
Dat";"I13 - 
Fre";"I14 - 
Dis";"Distanza d";"I15 - 
Den";"I16 - 
Et´";"Stato dell";"Tipo di in";"Costi Tota";"Fondi loca";"Stima dei";"Classe di";"Coefficien";"Punteggio";"Coordinate";"Coordina_1"
360;"Na";"Napoli";"2.
edifici pubblici e privati;";"Mezzi di trasporto";"Ufficio senza pubblico";"Linoleum";1;1,000000000000000;2,500000000000000;2,500000000000000;5;;100;1;1;1;2;5;1000;5;;;1;5;1;;1;1;20;1;1,000000000000000;4;2;"A";;;;;3;0,700000000000000;385,350000000000000;938176;4532691
380;"Na";"Napoli";"2.
edifici pubblici e privati;";"Mezzi di trasporto";"Capannone ad uso produttivo";"Lastre ondulate";1;1,000000000000000;1,000000000000000;2,500000000000000;10;;1000;1;1;1;2;5;1000;8;;1000;1;5;1;;1;1;20;5;0,000000000000000;2;2;"A";;;;;4;0,400000000000000;216,000000000000000;939167;4530920
377;"Na";"Napoli";"2.
edifici pubblici e privati;";"Mezzi di trasporto";"Capannone ad uso produttivo";"Rivestimenti";1;1,000000000000000;1,000000000000000;2,500000000000000;5;;200;1;1;1;2;3;160;8;;1000;1;5;1;;1;1;20;5;0,000000000000000;4;2;"A";;;;;4;0,400000000000000;228,599999999999000;948248;4533214
400;"Ce";"Caserta";"2.
edifici pubblici e privati;";"Sistema di adduzione e accumulo acqua";"Serbatoi riserva idrica";"Serbatoi, cassoni";1;1,000000000000000;1,000000000000000;1,000000000000000;10;;1000;1;3;1;2;3;;5;;;1;5;1;;1;1;5;1;1,000000000000000;2;2;"A";;;;;5;0,300000000000000;109,500000000000000;947102;4560474
355;"Na";"Giugliano in Campania";"2.
edifici pubblici e privati;";"Uffici Pubblica Amministrazione";"Ufficio senza pubblico";"Pluviali";1;1,000000000000000;2,500000000000000;2,500000000000000;10;;800;1;1;5;2;9;178862;5;;76;1;5;1;;1;1;10;1;3,000000000000000;4;2;"A";;;;;3;0,700000000000000;423,149999999999000;924794;4539813
367;"Na";"Napoli";"2.
edifici pubblici e privati;";"Uffici Pubblica Amministrazione";"Ufficio aperto al pubblico";"Comignoli, Condotte di areazione";1;2,500000000000000;2,500000000000000;1,000000000000000;5;;331;10;1;1;2;5;630;8;;600;1;30;1;;1;1;5;5;0,000000000000000;4;2;;;;;;5;0,300000000000000;322,649999999999000;943204;4534556
383;"Ce";"Capua";"2.
edifici pubblici e privati;";"Edifici Industriali e loro pertinenze";"Capannone ad uso produttivo";"Lastre ondulate";1;1,000000000000000;1,000000000000000;2,500000000000000;10;;3216;10;1;1;2;3;240;5;;240;1;5;1;;1;1;20;3;0,500000000000000;2;2;;;;;;4;0,400000000000000;199,800000000000000;936793;4562992
371;"Sa";"Salerno";"2.
edifici pubblici e privati;";"Uffici Pubblica Amministrazione";"Poliambulatorio";"Serbatoi (n. 7), caldaie (n. 3)";1;1,000000000000000;2,500000000000000;1,000000000000000;10;;860;10;3;1;2;3;;5;;;1;5;1;;1;1;5;5;0,000000000000000;2;10;"A";;;;;5;0,300000000000000;279,000000000000000;987480;4519450
25;"Sa";"S.Cipriano Picentino";"2.
edifici pubblici e privati;";"Uffici Pubblica Amministrazione";"Poliambulatorio";"Lastre ondulate";1;2,500000000000000;2,500000000000000;2,500000000000000;10;;3300;10;1;1;2;5;550;8;;550;3;5;1;;1;1;20;3;0,100000000000000;4;2;"A";;;;;2;0,800000000000000;849,600000000000000;996132;4521584
385;"Ce";"San Nicola la Strada";"2.
edifici pubblici e privati;";"Altro";"Ex baracche";"Lastre ondulate";1;1,000000000000000;2,500000000000000;1,000000000000000;5;;130;1;3;1;2;9;11810;5;;100;1;5;3;2002;1;1;5;3;0,100000000000000;4;2;"A";;;;;5;0,300000000000000;193,500000000000000;947907;4558594
