"Id_Regione";"Id_Unita";"Provincia";"Comune";"Id_categor";"Materiale";"A";"B";"C";"D";"Peso stima";"Peso_S1";"I1";"I2";"I3";"I4";"I5";"I6";"Superficie";"I7";"Effettiva";"Effettiv_1";"I8";"I9";"I10";"Data dismi";"I11";"I12";"I13";"I14";"Distanza c";"I15";"I16";"Punteggio";"Classe di";"Superfic_1";"Tipo di bo";"Tipo d'int";"Classed_1";"Costo_dell";"Fondi Loca";"Fondi da r";"Numero_pia";"Numero_van";"X";"Y"
"6";"AQ0010001";"L'AQUILA";"ACCIANO";"11";;1,0;2,0;2,5;2,5;;224,0;5,0;10;1,0;5;0;3;455,0;5;;"11.2";;30;"1";;"3";0,0;"20";5,0;"0";4;2;11880,0;2;;"Sito non bonificato";;;1336,6;;;;;889727,4;4680184,7
"6";"AQ0010002";"L'AQUILA";"ACCIANO";"14";;1,0;1,0;1,0;2,5;;12200,0;15,0;10;3,0;5;0;5;793,0;8;;"610";1;5;"1";;"3";0,0;"5";1,0;"6198";2;2;3410,0;4;;"Sito non bonificato";;;13335,0;;;;;884327,8;4683220,9
"6";"AQ0020001";"L'AQUILA";"AIELLI";"8";;1,0;2,0;2,5;2,5;;2600,0;10,0;10;1,0;5;0;3;130,0;5;;"130";;30;"1";;"3";0,0;"20";5,0;"0";4;10;13440,0;2;;"Sito totalmente bonificato";"MCA Rimosso";;4845,0;;;;;879849,2;4668945,6
"6";"AQ0020002";"L'AQUILA";"AIELLI";"8";;1,0;2,0;2,5;2,5;;640,0;10,0;10;1,0;5;0;3;260,0;5;;"32";;30;"1";;"3";0,0;"20";5,0;"0";4;10;13440,0;2;;"Sito non bonificato";;;1711,0;;;;;879243,7;4666847,7
"6";"AQ0020003";"L'AQUILA";"AIELLI";"8";;1,0;2,0;2,5;2,5;;480,0;5,0;10;1,0;1;0;3;195,0;5;;"24";;5;"1";;"3";0,0;"20";5,0;"0";4;10;9360,0;2;;"Sito non bonificato";;;2503,0;;;;;879437,9;4667028,0
"6";"AQ0020004";"L'AQUILA";"AIELLI";"8";;1,0;2,0;2,5;2,5;;4900,0;10,0;10;1,0;5;0;3;455,0;5;;"490";;30;"1";;"1";0,0;"20";5,0;"0";4;10;13320,0;2;;"Sito non bonificato";;;15590,0;;;;;879834,2;4668959,6
"6";"AQ0030001";"L'AQUILA";"ALFEDENA";"8";;1,0;2,0;2,5;2,5;;20000,0;15,0;10;1,0;5;0;5;1300,0;8;;"1000";;30;"1";;"3";0,0;"20";5,0;"0";4;10;14568,0;2;;"Sito totalmente bonificato";"MCA Rimosso";;21135,0;;;;;918278,2;4632611,9
"6";"AQ0040001";"L'AQUILA";"ANVERSA DEGLI ABRUZZI";"20";;1,0;2,0;2,5;2,5;;2600,0;10,0;10;1,0;5;0;3;156,0;5;;"130";;30;"1";;"3";0,0;"20";3,0;"636";2;2;10800,0;2;;"Sito non bonificato";;;3735,0;;;;;897741,9;4661082,0
"6";"AQ0040002";"L'AQUILA";"ANVERSA DEGLI ABRUZZI";"7";;1,0;1,0;2,5;2,5;;30,0;5,0;10;1,0;1;0;5;520,0;5;;"1.5";;5;"1";;"3";0,0;"20";5,0;"0";4;2;5796,0;3;;"Sito non bonificato";;;970,5;;;;;897746,4;4660303,0
"6";"AQ0040003";"L'AQUILA";"ANVERSA DEGLI ABRUZZI";"12";;1,0;2,0;2,5;2,5;;50000,0;15,0;1;1,0;0;0;9;70000,0;8;;"2500";1;5;"1";;"3";0,0;"20";3,0;"600";2;2;802,8;2;;"Sito non bonificato";;;51135,0;;;;;897503,2;4660891,5
"6";"AQ0060001";"L'AQUILA";"AVEZZANO";"11";;1,0;2,0;2,5;2,5;;1712,0;10,0;10;1,0;5;0;3;156,0;5;;"85.6";;5;"1";;"3";0,0;"20";5,0;"0";4;2;9480,0;2;;"Sito non bonificato";;;4079,8;;;;;866519,8;4662629,7
