"Id_Regione";"Id_Unita";"Provincia";"Comune";"Id_categor";"Materiale";"A";"B";"C";"D";"Peso stima";"Peso_S1";"I1";"I2";"I3";"I4";"I5";"I6";"Superficie";"I7";"Effettiva";"Effettiv_1";"I8";"I9";"I10";"Data dismi";"I11";"I12";"I13";"I14";"Distanza c";"I15";"I16";"Punteggio";"Classe di";"Superfic_1";"Tipo di bo";"Tipo d'int";"Classed_1";"Costo_dell";"Fondi Loca";"Fondi da r";"Numero_pia";"Numero_van";"X";"Y"
"2";"Friuli1044";"UD";"REANA DEL ROIALE";"14";;1,0;1,0;2,5;2,5;;11400,0;15,0;1;1,0;1;2;5;;8;;;1;5;"1";;"1";1,0;"20";5,0;;4;2;630,0;3;;;;;;;;;;827747,6;5118838,6
"2";"Friuli1048";"PN";"ARZENE";"14";;1,0;1,0;2,5;2,5;;3960,0;10,0;1;1,0;1;2;3;;5;;;1;5;"1";;"1";1,0;"20";3,0;;4;2;482,0;3;;;;;;;;;;796822,0;5101432,4
"2";"Friuli1079";"UD";"REANA DEL ROIALE";"14";;1,0;1,0;2,5;2,5;;14700,0;15,0;1;1,0;1;2;5;;8;;;1;5;"1";;"1";1,0;"20";5,0;;4;2;630,0;3;;;;;;;;;;826958,3;5119159,4
"2";"Friuli1100";"UD";"BASILIANO";"14";;1,0;1,0;2,5;2,5;;540,0;10,0;1;1,0;1;2;3;;5;;;1;5;"1";;"1";1,0;"20";3,0;;4;2;482,0;3;;;;;;;;;;819371,8;5103483,5
"2";"Friuli1136";"PN";"SACILE";"14";;1,0;1,0;2,5;1,0;;1500,0;10,0;1;1,0;1;2;3;;5;;;1;5;"1";;"1";1,0;"20";5,0;;4;2;179,1;5;;;;;;;;;;772315,6;5096163,0
"2";"Friuli1145";"UD";"REANA DEL ROIALE";"14";;1,0;1,0;2,5;2,5;;6300,0;10,0;1;1,0;1;2;3;;5;;;1;5;"1";;"1";1,0;"20";5,0;;4;2;540,8;3;;;;;;;;;;826186,6;5118558,9
"2";"Friuli1147";"UD";"SEDEGLIANO";"14";;1,0;1,0;2,5;2,5;;19500,0;15,0;1;1,0;1;2;5;;8;;;1;5;"1";;"1";1,0;"20";3,0;;4;2;571,2;3;;;;;;;;;;807254,0;5102689,8
"2";"Friuli1179";"UD";"TRICESIMO";"14";;1,0;1,0;2,5;2,5;;6750,0;10,0;1;1,0;1;2;3;;5;;;1;5;"1";;"1";1,0;"20";5,0;;4;2;540,8;3;;;;;;;;;;826171,0;5120965,1
"2";"Friuli120";"UD";"TALMASSONS";"14";;1,0;1,0;2,5;2,5;;1500,0;10,0;1;1,0;1;2;3;;5;;;1;5;"1";;"1";1,0;"20";5,0;;4;2;540,8;3;;;;;;;;;;819226,6;5094578,7
"2";"Friuli1209";"UD";"PASIAN DI PRATO";"14";;1,0;1,0;2,5;2,5;;1500,0;10,0;1;1,0;1;2;3;;5;;;1;5;"1";;"1";1,0;"20";3,0;;4;2;482,0;3;;;;;;;;;;824118,8;5108376,5
"2";"Friuli1231";"GO";"CORMONS";"14";;1,0;1,0;2,5;2,5;;289500,0;15,0;1;1,0;1;2;9;;10;;;1;5;"1";;"1";1,0;"20";5,0;;4;2;674,1;3;;;;;;;;;;845625,5;5098432,4
"2";"Friuli1250";"GO";"GRADISCA D'ISONZO";"14";;1,0;1,0;2,5;2,5;;51045,0;15,0;1;1,0;1;2;5;;8;;;1;5;"1";;"1";1,0;"20";3,0;;4;2;571,2;3;;;;;;;;;;847914,8;5090712,5
