"ID";"CODICE";"DENOMIAZIONE";"CAP";"CITTA'";"PROV";"GIS x";"GIS y";"GIS Z";"PUNTEGGIO SITO Hp1";"PUNTEGGIO SITO Hp2";"CLASSE DI PRIORITA'";"TIPOLOGIA DI MCA";"PRESENZA DI CONFINAMENTO";"ACCESSIBILITA'";"TIPOLOGIA DI ATTIVITA'";"i1";"i2";"i3";"i4";"i5";"i6";"i7";"i8";"i9";"i10";"i11";"i12";"i13";"i14";"i15";"i16"
6;"CO009002001";"COMUNE DI ALBENGA";17031;"ALBENGA";"SV";1436408;4878075;;;187;5;2;1;1;1;10;10;1;1;;5;8;1;5;;;1;10;3;2;2
7;"CO009002002";"COMUNE DI ALBENGA";17031;"ALBENGA";"SV";1435676;4880722;;;229;5;2;1;1;1;10;10;1;1;;5;5;1;;;;1;10;3;4;10
8;"CO009002003";"COMUNE DI ALBENGA";17031;"ALBENGA";"SV";1436757;4877147;;;568;2;2;2;1;1;10;10;1;1;;3;5;1;5;;;1;10;3;4;2
9;"CO009002004";"COMUNE DI ALBENGA";17031;"ALBENGA";"SV";1437209;4878081;;;254;5;2;1;1;1;10;10;1;1;;5;5;1;;;;1;10;5;4;10
11;"CO009002005";"COMUNE DI ALBENGA";17031;"ALBENGA";"SV";1436831;4877674;;;453;3;2;2;1;2;5;10;1;1;;3;5;1;5;;;1;10;5;4;
13;"CO009002006";"COMUNE DI ALBENGA";17031;"ALBENGA";"SV";1436842;4877669;;;526;3;2;2;1;2;5;10;1;1;;3;5;1;;;;1;20;5;4;
14;"CO009002007";"COMUNE DI ALBENGA";17031;"ALBENGA";"SV";1437448;4877268;;;702;2;2;2;1;1;5;10;1;1;;5;5;1;;;;1;10;5;4;10
15;"CO009002008";"COMUNE DI ALBENGA";17031;"ALBENGA";"SV";436958,87;4877628,04;;;109;5;2;1;2;2;10;10;1;1;;9;;3;;;;1;5;5;;
16;"CO009002009";"COMUNE DI ALBENGA";17031;"ALBENGA";"SV";1434274;4877292;;;210;5;2;1;1;1;10;10;1;1;;5;5;1;;;;1;10;3;;10
17;"CO009002010";"COMUNE DI ALBENGA";17031;"ALBENGA";"SV";1435253;4878822;;;334;3;2;2;1;2;10;10;1;1;;3;5;1;5;;;1;5;3;2;
18;"CO009005001";"COMUNE DI ALTARE";17041;"ALTARE";"SV";446801,91;4909507,72;;;334;4;2;2;2;1;5;10;1;5;;3;8;1;30;;;;20;3;;
19;"CO009004001";"COMUNE DI ALBISOLA SUPERIORE";17011;"ALBISOLA SUPERIORE";"SV";1458790,7219;4912664,247;;;254;3;2;2;1;2;5;1;1;1;;3;5;1;5;;1;;10;1;2;2
21;"CO009004002";"COMUNE DI ALBISOLA SUPERIORE";17011;"ALBISOLA SUPERIORE";"SV";1461101,9505;49094417430;;;184;5;2;1;2;1;5;1;1;5;;5;5;1;5;;1;;20;5;4;10
22;"CO009004003";"COMUNE DI ALBISOLA SUPERIORE";17011;"ALBISOLA SUPERIORE";"SV";1460944,027;4909605,888;;;610;2;2;2;1;1;5;1;1;1;;3;5;1;;;1;;20;5;4;
24;"CO009004004";"COMUNE DI ALBISOLA SUPERIORE";17011;"ALBISOLA SUPERIORE";"SV";1461268,0607;4909102,2207;;;216;4;2;2;2;1;5;1;1;1;;5;5;1;5;;1;;20;5;4;
26;"CO009010001";"COMUNE DI BERGEGGI";17028;"BERGEGGI";"SV";455809,03;4899709,98;;;420;2;2;2;1;1;10;1;1;1;;3;5;1;5;;;;10;3;2;
27;"CO009010002";"COMUNE DI BERGEGGI";17028;"BERGEGGI";"SV";455308,11;4899407,88;;;696;2;2;2;1;1;5;1;1;1;;3;5;1;5;;;;20;5;4;10
28;"CO009010003";"COMUNE DI BERGEGGI";17028;"BERGEGGI";"SV";455097,18;4899691,12;;;696;2;2;2;1;1;5;1;1;1;;3;5;1;5;;;;20;5;4;10
29;"CO009013001";"COMUNE DI BORGIO VEREZZI";17022;"BORGIO VEREZZI";"SV";444064,42;4890561,95;;;517;2;2;2;1;1;10;10;1;1;;3;5;1;5;;;;10;3;2;
30;"CO009013002";"COMUNE DI BORGIO VEREZZI";17022;"BORGIO VEREZZI";"SV";444584,96;4889570,97;;;478;2;2;2;1;1;5;10;1;1;;3;5;1;5;;;;5;3;4;
31;"CO009018001";"COMUNE DI CARCARE (TENNIS CLUB COMUNALE)";17043;"CARCARE";"SV";443198,42;4912174,94;;;208;4;2;2;2;1;5;1;1;1;;3;5;1;5;;;1;20;5;4;
32;"CO009018002";"COMUNE DI CARCARE";17043;"CARCARE";"SV";443474,72;4911886,04;;;233;4;2;2;2;1;10;1;1;1;;3;8;1;5;;;1;20;5;4;
34;"CO009018003";"COMUNE DI CARCARE (SCUOLA MATERNA)";17043;"CARCARE";"SV";442574,23;4912042,85;;;749;2;2;2;1;1;10;1;1;1;;5;5;1;5;;;1;20;5;4;10
35;"CO009018004";"COMUNE DI CARCARE (BOCCIODROMO)";17043;"CARCARE";"SV";443198,42;4912174,94;;;234;4;2;2;2;1;10;1;1;1;;5;5;1;5;;;1;20;5;4;
36;"CO009009001";"COMUNE DI CASANOVA LERRONE";17033;"CASANOVA LERRONE";"SV";423548,39;4876304,36;;;427;2;2;2;1;1;5;10;1;1;;3;5;1;5;;;;5;3;2;
37;"CO009022003";"COMUNE DI CELLE LIGURE";17015;"CELLE LIGURE";"SV";1463813;4910121;;;976;2;2;2;1;1;5;1;3;1;;3;5;3;5;7;;;10;5;4;
38;"CO009022005";"COMUNE DI CELLE LIGURE";17015;"CELLE LIGURE";"SV";1463766,45;4910616,81;;;492;2;2;2;1;1;5;1;1;1;;3;5;1;5;;;;20;3;2;
39;"CO009024001";"COMUNE DI CERIALE";17023;"CERIALE";"SV";1438171,56;4882455,88;;;180;4;2;2;2;1;5;1;1;1;;5;5;1;5;;;;10;5;4;2
40;"CO009024003";"COMUNE DI CERIALE";17023;"CERIALE";"SV";1437897,05;4882453,43;;;208;4;2;2;2;1;5;1;1;1;;3;5;1;5;;;;20;5;4;2
41;"CO009024002";"COMUNE DI CERIALE";17023;"CERIALE";"SV";1438529,41;4882720,58;;;216;5;2;1;2;1;10;1;3;1;;3;8;1;5;3;;;5;5;4;
42;"CO009024004";"COMUNE DI CERIALE";17023;"CERIALE";"SV";1437401,96;4882313,72;;;174;4;2;2;2;1;5;1;1;1;;3;5;1;5;;;;20;3;2;
45;"CO009029001";"COMUNE DI FINALE LIGURE";17024;"FINALE LIGURE";"SV";1446688;4891523;;;982;3;2;2;1;2;5;10;3;1;;3;5;1;;7;;1;20;5;4;
46;"CO009029002";"COMUNE DI FINALE LIGURE";17024;"FINALE LIGURE";"SV";1446628;4891493;;;1298;2;2;2;1;1;5;10;3;1;;3;5;1;;7;;1;20;5;4;
47;"CO009029003";"COMUNE DI FINALE LIGURE";17024;"FINALE LIGURE";"SV";1446701;4891522;;;1442;2;2;2;1;1;5;10;3;1;;3;5;1;5;7;;1;20;5;4;10
48;"CO009029004";"COMUNE DI FINALE LIGURE";17024;"FINALE LIGURE";"SV";1445970;4891713;;;754;3;2;2;1;2;5;10;1;1;;9;5;1;30;;;1;20;5;4;
49;"CO009029005";"COMUNE DI FINALE LIGURE";17024;"FINALE LIGURE";"SV";1445943;4889986;;;826;2;2;2;1;1;5;10;1;1;;3;5;1;30;;;1;20;1;2;
50;"CO009029006";"COMUNE DI FINALE LIGURE";17024;"FINALE LIGURE";"SV";447523,34;4890868,23;;;297;4;1;2;2;1;5;10;1;1;2;3;;1;5;;;1;20;5;4;
51;"CO009029007";"COMUNE DI FINALE LIGURE";17024;"FINALE LIGURE";"SV";1446456;4891661;;;1063;2;2;2;1;1;5;10;1;1;;;5;1;30;;;1;20;5;4;10
53;"CO009049001";"COMUNE DI PIETRA LIGURE";17027;"PIETRA LIGURE";"SV";442633,59;4888654,58;;;384;2;2;2;1;1;5;1;1;1;;3;;1;;;;;10;3;2;
54;"CO009049003";"COMUNE DI PIETRA LIGURE";17027;"PIETRA LIGURE";"SV";442634,18;4888658,12;;;221;4;2;2;2;1;10;1;1;1;;3;;1;;;;;20;3;2;10
55;"CO009038001";"COMUNE DI MILLESIMO";17017;"MILLESIMO";"SV";1436,9;4912,7;;;203;4;2;2;2;2;5;1;1;5;;3;8;3;30;;3;;10;5;2;
58;"CO009038002";"COMUNE DI MILLESIMO";17017;"MILLESIMO";"SV";1436,34;4912,83;;;219;4;2;2;2;2;10;10;1;1;;3;5;1;5;7;3;;20;5;2;
59;"ASEDG009001";"EDILGECO - MAGAZZINO";17017;"MILLESIMO";"SV";1436,25;4912,865;;;556;3;2;2;1;2;15;10;1;5;;3;8;3;5;;;;20;5;2;
60;"ASOFR009001";"OFFICINE FRESIA SPA";17011;"MILLESIMO";"SV";1436,75;4912,95;;;620;3;2;2;1;2;15;10;1;1;;5;10;1;5;;;;20;5;4;2
61;"CO009052002";"COMUNE DI QUILIANO";17047;"QUILIANO";"SV";1454116,78;4903627,107;;;718;2;2;2;1;1;10;10;1;1;;5;8;1;5;;;;20;3;4;2
62;"CO009052003";"COMUNE DI QUILIANO";17047;"QUILIANO";"SV";1451264,722;4904314,253;;;481;2;2;2;1;1;5;10;1;1;;3;5;1;5;;;;10;3;2;
63;"CO009052004";"COMUNE DI QUILIANO";17047;"QUILIANO";"SV";1452941,027;4904310,827;;;478;2;2;2;1;1;5;10;1;1;;3;5;1;5;;;;5;3;4;
64;"CO009056003";"COMUNE DI SAVONA";17100;"SAVONA";"SV";458589,72;4906143,64;;;121;5;2;1;2;1;5;1;1;1;;3;5;1;5;;;1;10;5;4;
65;"CO009056004";"COMUNE DI SAVONA";17100;"SAVONA";"SV";458591,91;4906135,78;;;216;4;2;2;2;1;5;1;1;1;;5;5;1;5;;;1;20;5;4;
66;"CO009056005";"COMUNE DI SAVONA";17100;"SAVONA";"SV";458591,91;4906135,78;;;335;4;2;2;2;1;5;1;1;1;;5;5;1;30;;;1;20;5;4;10
67;"CO009056006";"COMUNE DI SAVONA";17100;"SAVONA";"SV";458591,91;4906135,78;;;208;4;2;2;2;1;5;1;1;1;;3;5;1;5;;;1;20;5;4;
68;"CO009056007";"COMUNE DI SAVONA";17100;"SAVONA";"SV";458591,91;4906135,78;;;200;4;2;2;2;1;5;1;3;1;;3;5;1;5;;;1;;3;2;
69;"CO009056008";"COMUNE DI SAVONA";17100;"SAVONA";"SV";458591,91;4906135,78;;;236;4;2;2;2;1;5;1;1;1;;3;5;1;5;;;1;20;5;4;10
