"Id_Regione";"ID_Unita";"Provincia";"Comune";"Categoria";"Descrizione materiali";"Tipologia";"A - Friabilità";"B - Uso pubblico";"C - Accessibilità";"D - Presenza di confinamento";"I1 - Quantità di materiale stimato (Kg)";"Peso stimato friabile (kg)";"Peso stimato compatto (kg)";"I2 - Presenza di un programma di manutenzione e controllo";"I3 - Attività";"I4 - Dispersione di fibre";"I5 - Concentrazione di fibre aerodisperse (ff/l)";"I6 - Area di estensione del sito (m2)";"Effettiva area perimetrale (m2)";"I7 - Superficie esposta all’aria (m2)";"Effettiva superficie con amianto friabile  (m2)";"Effettiva superficie con amianto compatto (m2)";"I8 - Coinvolgimento del sito in lavori di urbanizzazione";"I9 - Stato di conservazione delle strutture edili";"I10 - Tempo trascorso dalla dismissione (anni)";"Data dismissione (gg-mm-aaaa)";"I11 - Tipologia di amianto presente";"I12 - Dati epidemiologici";"I13 - Frequenza di utilizzo";"I14 - Distanza dal centro urbano (m)";"Distanza dal centro urbano (km)";"I15 - Densità di popolazione";"I16 - Età media dei soggetti frequentatori (anni)";"Tipo di bonifica";"Tipo di intervento";"Costi Totali stimati dell'intervento (€)";"Fondi locali/regionali assegnati";"Fondi da richiedere";"Punteggio Mappatura";"Classe di priorità";"Coefficiente di priorità";"Punteggio Mappatura";"Coordinate X (WGS84-UTM fuso 32)";"Coordinate Y (WGS84-UTM fuso 32)"
3;"2T_0005";"Aosta";"POLLEIN";2;;"Edifici agricoli e loro pertinenze";1;1;1;2,5;15;0;10284;10;1;5;2;5;;8;"0";605;1;5;1;;1;1;20;3;;2;10;2;3;0;0;0;271;4;0,4;270,6;371561;5065491
3;"2T_0006";"Aosta";"POLLEIN";2;;"Edifici agricoli e loro pertinenze";1;1;1;2,5;10;0;3419;10;1;5;2;3;;5;"0";201;1;5;1;;1;1;20;5;;2;2;0;0;6030;0;6030;226;4;0,4;226,2;371592;5065279
3;"2T_0007";"Aosta";"POLLEIN";1;;"Edifici industriali e loro pertinenze*";1;2,5;1;2,5;10;0;6711;10;1;5;2;3;;5;"0";395;1;5;1;;1;1;20;1;;2;2;0;0;11850;0;11850;265;4;0,4;264,6;371422;5065702
3;"2T_0009";"Aosta";"POLLEIN";2;;"Edifici agricoli e loro pertinenze";1;1;1;2,5;10;0;2323;10;1;5;2;3;;5;"0";137;1;5;1;;1;1;20;5;;2;2;0;0;4110;0;4110;226;4;0,4;226,2;371964;5065332
3;"2T_0015";"Aosta";"POLLEIN";2;;"Edifici agricoli e loro pertinenze";1;1;1;2,5;10;0;2161;10;1;5;2;3;;5;"0";127;1;5;1;;1;1;20;3;;2;2;0;0;3810;0;3810;209;4;0,4;209,4;372115;5065496
3;"2T_0016";"Aosta";"POLLEIN";2;;"Edifici agricoli e loro pertinenze";1;1;1;2,5;10;0;1666;10;1;5;2;3;;5;"0";98;1;5;1;;1;1;20;3;;2;2;0;0;2940;0;2940;209;4;0,4;209,4;372273;5065462
3;"2T_0017";"Aosta";"POLLEIN";2;;"Edifici artigianali e di servizio";1;1;1;2,5;15;0;10836;10;1;5;2;5;;8;"0";637;1;5;1;;1;1;20;1;;2;2;0;0;19110;0;19110;235;4;0,4;234,6;372385;5065691
3;"2T_0018";"Aosta";"POLLEIN";2;;"Edifici artigianali e di servizio";1;1;1;2,5;15;0;21765;10;1;5;2;5;;8;"0";1280;1;5;1;;1;1;20;1;;2;2;0;0;38400;0;38400;235;4;0,4;234,6;372409;5065557
3;"2T_0019";"Aosta";"POLLEIN";2;;"Edifici artigianali e di servizio";1;1;1;2,5;15;0;14215;10;1;5;2;5;;8;"0";836;1;5;1;;1;1;20;1;;2;2;2;3;0;0;0;235;4;0,4;234,6;372480;5065572
3;"2T_0020";"Aosta";"POLLEIN";2;;"Edifici artigianali e di servizio";1;1;1;2,5;15;0;13408;10;1;5;2;5;;8;"0";789;1;5;1;;1;1;20;1;;2;2;0;0;23670;0;23670;235;4;0,4;234,6;372593;5065536
3;"2T_0021";"Aosta";"POLLEIN";2;;"Edifici artigianali e di servizio";1;1;1;2,5;15;0;12756;10;1;5;2;5;;8;"0";750;1;5;1;;1;1;20;1;;2;2;0;0;22500;0;22500;235;4;0,4;234,6;372649;5065550
3;"2T_0023";"Aosta";"POLLEIN";2;;"Edifici artigianali e di servizio";1;1;1;2,5;10;0;7816;10;1;5;2;3;;5;"0";460;1;5;1;;1;1;20;1;;2;2;2;3;0;0;0;193;4;0,4;192,6;372694;5065578
3;"2T_0024";"Aosta";"POLLEIN";2;;"Cinema, teatri e sale convegni";1;1;1;2,5;15;0;36804;10;1;5;2;5;;8;"0";2165;1;5;1;;1;1;20;1;;2;2;0;0;64950;0;64950;235;4;0,4;234,6;372720;5065622
3;"2T_0025";"Aosta";"POLLEIN";2;;"Edifici agricoli e loro pertinenze";1;1;1;2,5;10;0;6851;10;1;5;2;3;;5;"0";403;1;5;1;;1;1;20;3;;2;2;0;0;12090;0;12090;209;4;0,4;209,4;372608;5065348
3;"2T_0026";"Aosta";"POLLEIN";2;;"Edifici artigianali e di servizio";1;1;1;2,5;15;0;10812;10;1;5;2;5;;8;"0";636;1;30;1;;1;1;20;3;;2;2;0;0;19080;0;19080;311;4;0,4;311,4;373347;5065376
3;"2T_0027";"Aosta";"POLLEIN";2;;"Edifici agricoli e loro pertinenze";1;1;1;2,5;10;0;5868;10;1;5;2;3;;5;"0";345;1;5;1;;1;1;20;3;;2;2;0;0;10350;0;10350;209;4;0,4;209,4;373731;5065216
3;"2T_0029";"Aosta";"POLLEIN";2;;"Edifici artigianali e di servizio";1;1;1;2,5;15;0;15300;10;1;5;2;5;;8;"0";900;1;5;1;;1;1;20;1;;2;2;0;0;27000;0;27000;235;4;0,4;234,6;372312;5066115
3;"2T_0032";"Aosta";"POLLEIN";2;;"Edifici artigianali e di servizio";1;1;1;2,5;15;0;18602;10;1;5;2;5;;8;"0";1094;1;5;1;;1;1;20;1;;2;2;2;3;0;0;0;235;4;0,4;234,6;372717;5065915
3;"2T_0034";"Aosta";"POLLEIN";1;;"Edifici industriali e loro pertinenze*";1;2,5;2,5;2,5;10;0;2534;10;1;5;2;3;;5;"0";149;1;30;1;;1;1;20;1;;2;2;0;0;4470;0;4470;1020;2;0,8;1020;372767;5065893
3;"2T_0035";"Aosta";"POLLEIN";1;;"Edifici industriali e loro pertinenze*";1;2,5;1;2,5;10;0;7923;10;1;5;2;3;;5;"0";466;1;5;1;;1;1;20;1;;2;2;0;0;13980;0;13980;265;4;0,4;264,6;372793;5065889
3;"2T_0036";"Aosta";"POLLEIN";1;;"Edifici industriali e loro pertinenze*";1;2,5;1;2,5;10;0;1020;10;1;5;2;3;;5;"0";60;1;5;1;;1;1;20;1;;2;2;0;0;1800;0;1800;265;4;0,4;264,6;372836;5065959
3;"2T_0042";"Aosta";"POLLEIN";1;;"Edifici industriali e loro pertinenze*";1;2,5;1;2,5;10;0;7471;10;1;5;2;3;;5;"0";439;1;5;1;;1;1;20;1;;2;2;0;0;13170;0;13170;265;4;0,4;264,6;373069;5065993
3;"2T_0046";"Aosta";"POLLEIN";1;;"Edifici industriali e loro pertinenze*";1;2,5;1;2,5;15;0;13882;10;1;5;2;5;;8;"0";817;1;5;1;;1;1;20;1;;2;2;0;0;24510;0;24510;312;4;0,4;312;372885;5066154
3;"2T_0047";"Aosta";"POLLEIN";1;;"Edifici industriali e loro pertinenze*";1;2,5;1;2,5;15;0;31374;10;1;5;2;5;;8;"0";1846;1;5;1;;1;1;20;1;;2;2;0;0;55380;0;55380;312;4;0,4;312;372963;5066162
3;"2T_0049";"Aosta";"GRESSAN";1;;"Edifici artigianali e di servizio";1;1;1;2,5;10;0;4358;10;1;5;2;3;;5;"0";256;1;5;1;;1;1;20;3;;2;2;0;0;7680;0;7680;209;4;0,4;209,4;368114;5065186
3;"2T_0050";"Aosta";"GRESSAN";1;;"Edifici artigianali e di servizio";1;1;1;2,5;15;0;13456;10;1;5;2;5;;8;"0";792;1;5;1;;1;1;20;3;;2;2;2;3;0;0;0;251;4;0,4;251,4;368177;5065191
3;"2T_0051";"Aosta";"GRESSAN";1;;"Edifici artigianali e di servizio";1;1;1;2,5;15;0;10595;10;1;5;2;5;;8;"0";623;1;5;1;;1;1;20;3;;2;2;2;3;0;0;0;251;4;0,4;251,4;368213;5065193
3;"2T_0052";"Aosta";"GRESSAN";1;;"Edifici artigianali e di servizio";1;1;1;2,5;15;0;79052;10;1;5;2;5;;8;"0";4650;1;5;1;;1;1;20;3;;2;2;2;3;0;0;0;251;4;0,4;251,4;368310;5065214
