"AZIENDA ULSS";"ID_Unita";"Provincia ";"Comune";"Categoria                
";"Tipologia";"Descrizione materiali";"A - Friabilita";" B - Uso pubblico";" C - Accessibilita";" D - Presenza di confinamento";" I1 - Quantita di materiale stimato (Kg)";"Peso stimato friabile (kg)";"Peso stimato compatto (kg)";" I2 -
Presenza di un programma di manutenzione e controllo ";" I3 - Attivita";" I4 - 
Presenza di cause che creano o favoriscono la dispersione di fibre";" I5 - Concentrazione di fibre aerodisperse (ff/l) ";" I6 - 
Area di estensione del sito (m2)";"? Effettiva area ricompresa nel perimetro del sito  (m2)";" I7 - 
Superficie esposta allaaria (m2)";" Effettiva superficie con amianto friabile  (m2)";" Effettiva superficie con amianto compatto (m2)";" I8 - Coinvolgimento del sito in lavori di urbanizzazione";" I9 - 
Stato di conservazione delle strutture edili";" I10 - 
Tempo trascorso dalla dismissione (anni)";"Data dismissione
(gg-mm-aaa)";" I11 - 
Tipologia di amianto presente";" I12 - 
Dati epidemiologici";" I13 - 
Frequenza di utilizzo";" I14 - 
Distanza dal centro urbano (m)";"Distanza dal centro urbano (km)";" I15 - 
Densita di popolazione ";" I16 - 
Eta media dei soggetti frequentatori (anni)";"Stato della bonifica ";"Tipo di intervento ";"Costi Totali stimati dell'intervento (a)";"Fondi locali/regionali assegnati (a)";"Stima dei fabbisogni finanziari (a)";"Classe di priorita";"Coefficiente di priorita";"Punteggio Mappatura";"Coordinate X (WGS84-UTM fuso 32)";"Coordinate Y (WGS84-UTM fuso 32)"
1;1;"BELLUNO";"longarone";1;"edificio artigianale";"lastre ondulate";1,00;1,00;1,00;2,50;10,00;0,00;9560,00;10,00;1,00;1,00;2,00;5,00;1000,00;8,00;"0";"560";1,00;5,00;1,00;;1,00;1,00;20,00;3,00;"1";2,00;2,00;"a";"c";5600,00;;;4,00;0,40;220,80;292150,641;5125801,4
1;2;"BELLUNO";"castello lavazzo";1;"edificio artigianale";"lastre piane";1,00;1,00;1,00;2,50;10,00;0,00;2805,00;1,00;1,00;1,00;2,00;5,00;300,00;5,00;"0";"165";1,00;5,00;1,00;;1,00;1,00;5,00;3,00;"0,5";2,00;2,00;"a";"c";2000,00;;;4,00;0,40;150,60;297460,91;5128098,32
1;3;"BELLUNO";"longarone";1;"edificio industriale";"intonaco di ricopertura trave";1,00;1,00;1,00;2,50;5,00;10,00;0,00;1,00;1,00;1,00;2,00;3,00;200,00;5,00;"5";"0";1,00;5,00;1,00;;1,00;1,00;20,00;1,00;"4";2,00;2,00;"a";"c";"1000";;;4,00;0,40;140,40;285040,38;5113642,58
1;4;"BELLUNO";"longarone";1;"edificio industriale";"lastre di controsoffitto e cupolini";1,00;1,00;2,50;2,50;15,00;0,00;23800,00;1,00;1,00;1,00;2,00;5,00;2000,00;8,00;"0";"1000";1,00;5,00;1,00;;1,00;1,00;20,00;1,00;"1";2,00;2,00;"a";"c";"10000";;;3,00;0,70;497,70;292191,69;5125502,96
1;5;"BELLUNO";"longarone";1;"edificio artigianale";"lastre ondulate";1,00;1,00;2,50;2,50;10,00;0,00;2210,00;1,00;1,00;1,00;2,00;5,00;1000,00;5,00;"0";"130";1,00;5,00;1,00;;1,00;1,00;20,00;1,00;"2";2,00;2,00;"a";"c";"5000";;;3,00;0,70;423,15;292191,69;5125502,96
1;6;"BELLUNO";"longarone";1;"edificio industriale";"lastre ondulate";1,00;1,00;1,00;2,50;10,00;0,00;9350,00;1,00;1,00;1,00;2,00;5,00;2000,00;8,00;"0";"550";1,00;5,00;1,00;;1,00;1,00;20,00;1,00;"1,5";2,00;2,00;"a";"c";"5500";;;4,00;0,40;182,40;292191,69;5125502,96
1;7;"BELLUNO";"longarone";1;"edificio industriale";"guarnizioni e pannelli";2,00;1,00;1,00;2,50;5,00;5,00;30,00;1,00;1,00;1,00;2,00;5,00;1000,00;5,00;"2,5";"2";1,00;5,00;1,00;" ";1,00;1,00;20,00;1,00;"2";2,00;2,00;"a";"c";"5000";;;4,00;0,40;158,40;292191,69;5125502,96
1;8;"BELLUNO";"longarone";1;"edificio industriale";"lastre";1,00;1,00;1,00;1,00;15,00;0,00;247520,00;1,00;1,00;1,00;2,00;9,00;15000,00;10,00;"0";"14560";1,00;5,00;1,00;;1,00;1,00;20,00;1,00;"2";2,00;2,00;"b";"c";"150000";;;5,00;0,30;121,50;292191,69;5125502,96
1;9;"BELLUNO";"ponte nelle alpi";1;"edificio industriale";"lastre ondulate";1,00;1,00;1,00;1,00;10,00;0,00;4845,00;1,00;1,00;1,00;2,00;5,00;1000,00;5,00;"0";"285";1,00;5,00;1,00;;1,00;1,00;20,00;3,00;"1";2,00;2,00;"c";"b";"1500";;;5,00;0,30;103,50;290630,32;5119265,58
1;10;"BELLUNO";"pieve d'alpago";1;"edificio industriale";"lastre";1,00;1,00;1,00;1,00;15,00;0,00;80000,00;1,00;1,00;1,00;2,00;9,00;8000,00;10,00;"0";"4700";1,00;5,00;1,00;;1,00;1,00;20,00;1,00;"1";2,00;2,00;"a";"c";"47000";;;5,00;0,30;121,50;0;0
