Id_Regione;ID_Unità;Provincia;Comune;Categoria;Descrizione materiali;Tipologia;A - Friabilità;B - Uso pubblico;C - Accessibilità;D - Presenza di confinamento;I1 - Quantità di materiale stimato (Kg);Peso stimato friabile (kg);Peso stimato compatto (kg);I2 - Presenza di un programma di manutenzione e controllo;I3 - Attività;I4 - Dispersione di fibre;I5 - Concentrazione di fibre aerodisperse (ff/l);I6 - Area di estensione del sito (m2);Effettiva area perimetrale (m2);I7 - Superficie esposta all’aria (m2);Effettiva superficie con amianto friabile  (m2);Effettiva superficie con amianto compatto (m2);I8 - Coinvolgimento del sito in lavori di urbanizzazione;I9 - Stato di conservazione delle strutture edili;I10 - Tempo trascorso dalla dismissione (anni);Data dismissione (gg-mm-aaaa);I11 - Tipologia di amianto presente;I12 - Dati epidemiologici;I13 - Frequenza di utilizzo;I14 - Distanza dal centro urbano (m);Distanza dal centro urbano (km);I15 - Densità di popolazione;I16 - Età media dei soggetti frequentatori (anni);Tipo di bonifica;Tipo di intervento;Costi Totali stimati dell intervento (€);Fondi locali/regionali assegnati;Fondi da richiedere;Classe di priorità;Coefficiente di priorità;Punteggio Mappatura;x;y
114;300 Bertolini;Trento;TRENTO;2;1;Edifici agricoli e loro pertinenze;1;2,5;2,5;1;10;0;1700;10;1;1;2;3;100;5;0;100;1;30;1;0;1;1;20;5;0;4;10;A;0;;;;5;0,3;429;664756;5100647
114;301 Bertolini;Trento;TRENTO;2;1;Edifici agricoli e loro pertinenze;1;2,5;2,5;2,5;10;0;1530;10;1;1;2;3;90;5;0;90;1;5;1;0;1;1;20;5;0;4;10;A;0;;;;2;0,8;984;664773;5100676
114;308 Volani;Trento;SAMONE;1;1;Edifici agricoli e loro pertinenze;1;1;1;2,5;10;0;10200;10;1;5;2;5;600;8;0;600;1;5;1;0;1;1;20;3;0;2;2;A;0;;;;4;0,4;230;695300;5106065
114;310 Volani;Trento;SCURELLE;2;1;Edifici agricoli e loro pertinenze;1;1;1;2,5;10;0;8160;10;1;5;2;3;480;5;0;480;1;5;1;0;1;1;10;3;0;2;2;A;0;;;;4;0,4;185;694643;5103599
114;319 Volani;Trento;VILLA AGNEDO;1;1;Edifici agricoli e loro pertinenze;1;1;1;2,5;10;0;8500;10;3;5;2;5;500;8;0;500;1;5;1;0;1;1;5;3;0;2;2;B;C;;;;4;0,4;324;694663;5103571
114;33 Dalpiaz;Trento;SPORMINORE;2;1;Edifici agricoli e loro pertinenze;1;1;1;2,5;15;0;18700;10;1;1;2;5;1100;8;0;1100;1;30;1;0;1;1;20;5;0;3;2;A;0;;;;4;0,4;340;656054;5122228
114;334 Volani;Trento;CARZANO;2;1;Edifici agricoli e loro pertinenze;1;1;1;2,5;5;0;60;10;1;5;2;3;60;5;0;60;1;5;1;0;1;1;10;3;0;2;2;A;0;;;;4;0,4;164;693027;5104944
114;335 Volani;Trento;CASTELNUOVO;2;1;Edifici agricoli e loro pertinenze;1;1;1;2,5;10;0;2720;10;1;5;2;3;160;5;0;160;1;5;1;0;1;1;20;3;0;3;2;A;0;;;;4;0,4;222;682267;5103007
114;338 Volani;Trento;CASTELNUOVO;2;1;Edifici agricoli e loro pertinenze;1;1;1;2,5;10;0;2040;10;1;5;2;3;120;5;0;120;1;5;1;0;1;1;10;5;0;3;2;A;0;;;;4;0,4;223;692952;5102976
114;353 Volani;Trento;CASTELNUOVO;2;1;Edifici agricoli e loro pertinenze;1;1;1;2,5;10;0;1360;10;1;5;2;3;80;5;0;80;1;5;1;0;1;1;10;3;0;3;2;A;0;;;;4;0,4;198;692388;5103013
