Id_Regione;ID_Unità;Provincia;Comune - Frazione;Categoria;Descrizione materiali;Tipologia;A - Friabilità;B - Uso pubblico;C - Accessibilità;D - Presenza di confinamento;I1 - Quantità di materiale stimato (Kg);Peso stimato friabile (kg);Peso stimato compatto (kg);I2 - Presenza di un programma di manutenzione e controllo;I3 - Attività;I4 - Dispersione di fibre;I5 - Concentrazione di fibre aerodisperse (ff/l);I6 - Area di estensione del sito (m2);Effettiva area perimetrale (m2);I7 - Superficie esposta all’aria (m2);Effettiva superficie con amianto friabile  (m2);Effettiva superficie con amianto compatto (m2);I8 - Coinvolgimento del sito in lavori di urbanizzazione;I9 - Stato di conservazione delle strutture edili;I10 - Tempo trascorso dalla dismissione (anni);Data dismissione (gg-mm-aaaa);I11 - Tipologia di amianto presente;I12 - Dati epidemiologici;I13 - Frequenza di utilizzo;I14 - Distanza dal centro urbano (m);Distanza dal centro urbano (km);I15 - Densità di popolazione;I16 - Età media dei soggetti frequentatori (anni);Tipo di bonifica;Tipo di intervento;Costi Totali stimati dell intervento (€);Fondi locali/regionali assegnati;Fondi da richiedere;Classe di priorità;Coefficiente di priorità;Punteggio Mappatura;Coordinate X (WGS84-UTM fuso 32);Coordinate Y (WGS84-UTM fuso 32)
117;20130604/PR/ITC17/0008 B;At;Asti;2;Lastre ondulate;Scuole;2;2,5;2,5;2,5;5;;;10;1;5;2;9;41954;5;;;1;5;1;;3;1;5;1;;4;10;Rimozione;C Rimozione;;;;1;1,2;1069;437382;4972564
117;A66409;To;Beinasco;2;LASTRE;EDIFICIO RESIDENZIALE;1;1;1;2,5;10;;;1;1;1;2;5;800;5;;;1;5;1;;1;1;20;3;0.5;4;2;-;-;;;;4;0,4;212;0;0
117;A66424;To;Orbassano;2;LASTRE;ATTIVITA  COMMERCIALE;1;1;1;2,5;10;;;1;1;1;2;3;400;5;;;1;5;1;;1;1;20;3;0.1;4;2;-;-;;;;4;0,4;203;0;0
117;A78402;To;Orbassano;2;LASTRE;EDIFICIO INDUSTRIALE;1;1;1;2,5;10;;;1;1;1;2;9;84000;5;;;1;5;1;;1;1;20;3;1;2;2;-;-;;;;4;0,4;203;0;0
117;A80790;To;Beinasco;2;LASTRE;EDIFICIO RESIDENZIALE;1;1;1;2,5;10;;;1;1;1;2;3;200;5;;;1;5;1;;1;1;20;3;0.05;4;2;-;-;;;;4;0,4;203;0;0
117;A81316;To;Beinasco;2;LASTRE;EDIFICIO RESIDENZIALE;1;1;1;2,5;10;;;1;1;1;2;3;300;5;;;1;5;1;;1;1;20;3;0.1;4;2;-;-;;;;4;0,4;203;0;0
117;A81317;To;Beinasco;2;LASTRE;EDIFICIO RESIDENZIALE;1;1;1;2,5;10;;;1;1;1;2;3;300;5;;;1;5;1;;1;1;20;3;0.1;4;2;-;-;;;;4;0,4;203;0;0
117;B82891;To;Grugliasco;2;LASTRE;SCUOLA;1;2,5;1;2,5;15;;;1;1;1;2;5;2000;8;;;1;5;1;;1;1;20;3;0.05;4;10;-;-;;;;4;0,4;367;0;0
117;B86278;To;Grugliasco;2;LASTRE;EDIFICIO INDUSTRIALE;1;1;1;2,5;15;;;1;1;1;2;5;1000;8;;;1;5;1;;1;1;20;3;0.2;4;2;-;-;;;;4;0,4;245;0;0
117;B86279;To;Grugliasco;2;LASTRE;EDIFICIO INDUSTRIALE;1;1;1;2,5;15;;;1;1;1;2;5;1000;8;;;1;5;1;;1;1;20;3;0.2;4;2;-;-;;;;4;0,4;245;0;0
