ID;Id_Regione;ID_Unità;Provincia;Comune;Categoria;Descrizione materiali;A - Friabilità;B - Uso pubblico;C - Accessibilità;D - Presenza di confinamento;I1 - Quantità di materiale stimato (Kg);Peso stimato friabile (kg);Peso stimato compatto (kg);I2 - Presenza di un programma di manutenzione e controllo;I3 - Attività;I4 - Dispersione di fibre;I5 - Concentrazione di fibre aerodisperse (ff/l);I6 - Area di estensione del sito (m2);Effettiva area perimetrale (m2);I7 - Superficie esposta all’aria (m2);Effettiva superficie con amianto friabile  (m2);Effettiva superficie con amianto compatto (m2);I8 - Coinvolgimento del sito in lavori di urbanizzazione;I9 - Stato di conservazione delle strutture edili;I10 - Tempo trascorso dalla dismissione (anni);Data dismissione (gg-mm-aaaa);I11 - Tipologia di amianto presente;I12 - Dati epidemiologici;I13 - Frequenza di utilizzo;I14 - Distanza dal centro urbano (m);Distanza dal centro urbano (km);I15 - Densità di popolazione;I16 - Età media dei soggetti frequentatori (anni);Tipo di bonifica;Tipo di intervento;Costi Totali stimati dell intervento (€);Fondi locali/regionali assegnati;Fondi da richiedere;Classe di priorità;Coefficiente di priorità;Punteggio Mappatura;Coordinate X (WGS84-UTM fuso 32);Coordinate Y (WGS84-UTM fuso 32)
206;22;Tos10211;SI;ABBADIA SAN SALVATORE;10;;1;2,5;2,5;2,5;15;;;10;3;1;2;3;;5;;;1;30;7;;1;1;5;3;;2;2;;;;;;2;0,8;1584;717416,470677;4751416,19776
1;22;Tos614;FI;PONTASSIEVE;15;;2;2,5;2,5;2,5;5;;;10;1;1;2;3;300;5;;;1;30;1;;1;1;5;5;;4;2;;;;;;1;1,2;1476;692967,076151;4858000,88807
33;22;Tos340;GR;SCARLINO;6;;1;2,5;2,5;2,5;10;;;1;3;1;2;3;39;5;;;1;30;7;;1;1;5;3;;2;2;;;;;;2;0,8;1358;649559,376732;4751658,35148
219;22;Tos10216;SI;SAN GIOVANNI D ASSO;10;;2;1;2,5;2,5;15;;;10;3;1;2;3;;5;;;3;30;7;;1;1;5;1;;2;2;;;;;;2;0,8;1292;711876,55707;4780701,45577
369;22;Tos10195;LI;CECINA;10;;1;1;2,5;2,5;15;;;10;3;1;2;3;;5;;;3;30;7;;1;1;5;5;;4;2;;;;;;3;0,7;1270;622550,171744;4796093,10468
324;22;Tos10175;FI;CERTALDO;10;;1;1;2,5;2,5;10;;;10;3;1;2;3;;5;;;3;30;7;;1;1;5;5;;4;2;;;;;;3;0,7;1183;664566,271479;4823858,39032
11;22;Tos489;FI;FIGLINE VALDARNO;8;;2;2,5;2,5;2,5;5;;;10;3;1;2;3;0;5;;;1;5;1;;1;1;5;1;;2;2;;;;;;1;1,2;1170;699579,810099;4832958,98586
212;22;Tos1307;PT;PESCIA;8;;1;2,5;2,5;2,5;5;;;10;3;1;2;3;0;5;;;1;5;7;;1;1;5;5;;4;2;;;;;;2;0,8;1164;635439,204057;4862181,97386
209;22;Tos10215;SI;PIENZA;10;;2;1;2,5;2,5;15;;;1;3;1;2;3;;5;;;1;30;7;;1;1;5;1;;2;2;;;;;;2;0,8;1114;717729,364831;4773780,61755
291;22;Tos10182;FI;CASTELFIORENTINO;10;;1;1;2,5;2,5;15;;;10;3;1;2;3;;5;;;1;30;7;;1;1;5;3;;2;2;;;;;;3;0,7;1092;657091,335117;4834903,01232
34;22;Tos10193;GR;CASTELL AZZARA;10;;2;1;2,5;2,5;10;;;1;3;1;2;3;;5;;;3;30;7;;1;1;5;3;;2;2;;;;;;2;0,8;1086;715382,477975;4736977,55866
129;22;Tos3388;FI;LASTRA A SIGNA;4;;1;2,5;2,5;2,5;15;;;10;1;1;2;3;1900;5;;;1;5;1;;1;1;20;5;;4;10;;;;;;2;0,8;1044;669729,468686;4848717,29453
290;22;Tos10181;FI;CERTALDO;10;;1;1;2,5;2,5;10;;;10;3;1;2;3;;5;;;1;30;7;;1;1;5;3;;2;2;;;;;;3;0,7;1004;663475,287312;4825701,32134
