provincia,comune,Ragione sociale,indirizzo,civico,destinazione,sup_coperta
LI,BIBBONA,COMUNE DI BIBBONA,VIA S. ROCCO,"",Scuola,0
LI,BIBBONA,COMUNE DI BIBBONA,PIAZZA L. DA VINCI,"",Scuola,0
LI,BIBBONA,COMUNE DI BIBBONA,VIA DELLE MIMOSE,4,centro sociale,615
LI,BIBBONA,COMUNE DI BIBBONA,VIA II GIUGNO,"",Ufficio aperto al pubblico,200
LI,BIBBONA,RFI S.P.A. - UNITA' TERRITORIALE LIVORNO,della stazione,"","casa cantoniera, km 279+991",122
LI,BIBBONA,Le Capanne s.r.l.,VIA AURELIA KM 273,km273,Esercizio commerciale,248
LI,CAMPIGLIA MARITTIMA,POSTE ITALIANE S.p.A.,VIA LABRIOLA,1,Ufficio aperto al pubblico,307
LI,CAMPIGLIA MARITTIMA,POSTE ITALIANE S.p.A.,VIA VENETO,10,Ufficio aperto al pubblico,143
LI,CAMPIGLIA MARITTIMA,PARCO ARCHEOMINERARIO DI SAN SILVESTRO,DEL TEMPERINO,6,edificio industriale abbandonato,30
LI,CAMPO NELL'ELBA,Gest. AL. srl,VIALE DEGLI ETRUSCHI,333,"",1200
LI,CAMPO NELL'ELBA,POSTE ITALIANE S.p.A.,CAMPO,19,Ufficio aperto al pubblico,58
LI,CASTAGNETO CARDUCCI,POSTE ITALIANE S.p.A.,VIA PIAVE,9,Ufficio aperto al pubblico,188
LI,CASTAGNETO CARDUCCI,RFI S.P.A. - UNITA' TERRITORIALE LIVORNO,STAZIONE DI BOLGHERI,"",SERBATOI ACQUA DISTILLATA,0
LI,CASTAGNETO CARDUCCI,Le Pianacce s.r.l.,LE PIANACCE,"",Esercizio commerciale,35
LI,CECINA,zuccherificio,VIA GINORI,"",SITO DISMESSO,""
LI,CECINA,RFI S.P.A. - UNITA' TERRITORIALE LIVORNO,STAZIONE DI CECINA,"",Bocciodromo DLF,0
LI,CECINA,CASA MAFFI,AURELIA NORD,7,Ospedale/Casa di cura,315
LI,CECINA,I.S.I.S. Marco Polo - C. Cattaneo,MARRUCCI,8,Scuola,0
LI,CECINA,RFI S.P.A. - UNITA' TERRITORIALE LIVORNO,STAZIONE DI CECINA,"",deposito materiali,25
LI,CECINA,NENCINI LATERIZI SPA,SALAIOLA,28,IMPIANTO INDUSTRIALE,""
LI,CECINA,RFI S.P.A. - UNITA' TERRITORIALE LIVORNO,STAZIONE DI CECINA,"",POSTO DI GUARDIA IS,0
LI,CECINA,RFI S.P.A. - UNITA' TERRITORIALE LIVORNO,STAZIONE DI CECINA,"",Magazzino,0
LI,COLLESALVETTI,POSTE ITALIANE S.p.A.,VIA MARX,11,Ufficio aperto al pubblico,222
LI,COLLESALVETTI,La Toscana Impianti,via aurelia,7,IMPIANTO INDUSTRIALE GEN,""
LI,COLLESALVETTI,OMI srl,via Aurelia,7,IMPIANTO INDUSTRIALE GEN,""
LI,COLLESALVETTI,PROVINCIA DI LIVORNO,PARRANA-S. GIUSTO,"",Capannone industriale,0
LI,COLLESALVETTI,ENI SPA Div. R&M Raffineria di Livorno,via Aurelia,7,IMPIANTO INDUSTRIALE,""
LI,COLLESALVETTI,ENI SPA Div. R&M Raffineria di Livorno,via Aurelia,7,IMPIANTO INDUSTRIALE,""
LI,COLLESALVETTI,ENI SPA Div. R&M Raffineria di Livorno,via Aurelia,7,IMPIANTO INDUSTRIALE,""
LI,COLLESALVETTI,ENI SPA Div. R&M Raffineria di Livorno,via Aurelia,7,IMPIANTO INDUSTRIALE,""
LI,COLLESALVETTI,ENI SPA Div. R&M Raffineria di Livorno,via Aurelia,7,IMPIANTO INDUSTRIALE,""
LI,LIVORNO,DOW ITALIA srl,via Galvani,34,IMPIANTO INDUSTRIALE,""
LI,LIVORNO,RFI S.P.A. - UNITA' TERRITORIALE LIVORNO,via masi,8,caserma POLFER,250
LI,LIVORNO,INFERMIERE DELL'ADDOLORATA,BORGO S. JACOPO,"","",0
LI,LIVORNO,POSTE ITALIANE S.p.A.,VIA DEL MARE,85,Ufficio aperto al pubblico,116
LI,LIVORNO,POSTE ITALIANE S.p.A.,VIA DEL LITORALE - QUERCIANELLA,332/A,Ufficio aperto al pubblico,56
LI,LIVORNO,ASD ANTIGNANO CALCIO,VIA SERNESI,10,Impianto sportivo,0
LI,LIVORNO,PROVINCIA DI LIVORNO,GARZELLI,11,Ufficio aperto al pubblico,900
LI,LIVORNO,arpat,marradi,114,edificio per uffici e laboratori,0
LI,LIVORNO,D.O.C. Livorno SpA,via L. Da Vinci,37,IMPIANTO INDUSTRIALE,""
LI,LIVORNO,PROVINCIA DI LIVORNO,SCALI DELLE PIETRE,21,Autorimessa,410
provincia,comune,Ragione sociale,indirizzo,civico,destinazione,sup_coperta
LI,LIVORNO,raffineria eni,LOC. STAGNO.,"",SITO DISMESSO,""
LI,LIVORNO,REGIONE TOSCANA - SETTORE URTAT LIVORNO,VIA NARDINI,31,Ufficio aperto al pubblico,600
LI,LIVORNO,enel,VIA SALVATORE ORLANDO,"",SITO DISMESSO,""
LI,MARCIANA,POSTE ITALIANE S.p.A.,CORSO PROCCHIO,"",Ufficio aperto al pubblico,58
LI,MARCIANA,POSTE ITALIANE - UFFICIO PROCCHIO,SPARTAIA,"","",10
LI,MARCIANA MARINA,CAPITANERIA DI PORTO UFFICIO LOCALE MARITTIMO,P.LE AMMIRAGLIO BERNOTTI,2,Ufficio aperto al pubblico,80
LI,PIOMBINO,PARROCCHIA SANTA MARIA DEL ROSARIO,borgata Cotone,2,Magazzino,55
LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,""
LI,PIOMBINO,PARROCCHIA SANT'ANTIMO,VIA XX SETTEMBRE,15,oratorio,0
LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,""
LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,""
LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,""
LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,""
LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,""
LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,""
LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,""
LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,""
LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,""
LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,""
LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,""
LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,""
LI,PIOMBINO,SCUOLA ELEMENTARE DANTE ALIGHIERI,PIAZZA DANTE ALIGHIERI,1,Scuola,0
LI,PIOMBINO,DALMINE SPA,Ischia di Crociano,"",IMPIANTO INDUSTRIALE,""
LI,PIOMBINO,POSTE ITALIANE S.p.A.,VIA VOLTA,26,Ufficio aperto al pubblico,700
LI,PIOMBINO,POSTE ITALIANE S.p.A.,VIALE ETRURIA,72,Ufficio aperto al pubblico,53
LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,""
LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,""
LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,""
LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,""
LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,""
LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,""
LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,""
LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,""
LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,""
LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,""
LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,""
LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,""
LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,""
LI,PIOMBINO,COMUNE DI PIOMBINO,VIA P. GORI,"",cimitero,0
LI,PIOMBINO,EDISON SPA,VIALE DELLA RESISTENZA,2,Impianto industriale,0
LI,PIOMBINO,ARCELOR Piombino,via di Portovecchio,34,IMPIANTO INDUSTRIALE,""
provincia,comune,Ragione sociale,indirizzo,civico,destinazione,sup_coperta
LI,PIOMBINO,DALMINE SPA,Ischia di Crociano,"",IMPIANTO INDUSTRIALE,""
LI,PIOMBINO,ARCELOR Piombino,via di Portovecchio,34,IMPIANTO INDUSTRIALE,""
LI,PIOMBINO,DALMINE SPA,ISchia di Crociano,"",IMPIANTO INDUSTRIALE,""
LI,PIOMBINO,DALMINE SPA,Ischia di Crociano,"",IMPIANTO INDUSTRIALE,""
LI,PIOMBINO,ARCELOR Piombino,via di Portovecchio,34,IMPIANTO INDUSTRIALE,""
LI,PIOMBINO,ARCELOR Piombino,via di Portovecchio,34,IMPIANTO INDUSTRIALE,""
LI,PORTOFERRAIO,UFFICIO TERRITORIALE PER LA BIODIVERSITA',ISOLA DI MONTECRISTO,"",POLLAIO,13
LI,PORTOFERRAIO,UFFICIO TERRITORIALE PER LA BIODIVERSITA',ISOLA DI MONTECRISTO,"",LOCALE CALDAIA,14
