provincia,comune,Ragione sociale,indirizzo,civico,destinazione,sup_coperta
PI,BIENTINA,POSTE ITALIANE S.p.A.,VIA ROMA,5,Ufficio aperto al pubblico,180
PI,BIENTINA,BANCA DI CREDITO COOPERATIVO DI BIENTINA SCRL,PIAZZA VITTORIO EMANUELE II,4,Ufficio aperto al pubblico,800
PI,CALCI,COMUNE DI CALCI,MONTESERRA - PRATO ALLA TENETA,1,Base elicotteri servizio antincendio,120
PI,CALCI,COMUNE DI CALCI,MONTESERRA,10,base elicotteri,80
PI,CALCINAIA,COMUNE DI CALCINAIA,PALESTRA - VIA GENOVA,"",Impianto industriale,0
PI,CALCINAIA,COMUNE DI CALCINAIA,VIA G. LEOPARDI,"",Scuola,644
PI,CALCINAIA,COMUNE DI CALCINAIA,VIA BRUNO BUOZZI,"",Scuola,1373
PI,CASCINA,POSTE ITALIANE S.p.A.,VIA ACHILLE GRANDI,19,Ufficio aperto al pubblico,272
PI,CASCINA,TOSCANA ENERGIA SPA (ex TOSCANA GAS SPA),DELLA ROTINA LATIGNANO,"",impianto di riduzione gas metano,95
PI,CASCINA,TOSCANA ENERGIA SPA (ex TOSCANA GAS SPA),TITIGNANO,"",impianto di riduzione gas metano,75
PI,CASTELNUOVO DI VAL DI CECINA,COMUNE DI CASTELNUOVO VAL DI CECINA,G. VERDI,1,Ufficio aperto al pubblico,600
PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,pozzo91,"",IMPIANTO GEOTERMIA,""
PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,pozzo98,"",IMPIANTO GEOTERMIA,""
PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,pozzo 106/2,"",IMPIANTO GEOTERMIA,""
PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,term. coll. Colombaia,"",IMPIANTO GEOTERMIA,""
PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,Piandelgiglio,"",IMPIANTO GEOTERMIA,""
PI,CASTELNUOVO DI VAL DI CECINA,COMUNE DI CASTELNUOVO VAL DI CECINA,VIA ROMA,1,Scuola,1000
PI,CASTELNUOVO DI VAL DI CECINA,Enel - Unità territoriale di Lago,N4-n5a,"",IMPIANTO GEOTERMIA,""
PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,coll. BP lard 2,"",IMPIANTO GEOTERMIA,""
PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,pozzo 139,"",IMPIANTO GEOTERMIA,""
