provincia,comune,Ragione sociale,indirizzo,civico,destinazione,sup_coperta
PO,CANTAGALLO,PARROCCHIA DI USELLA,PIAZZA DELLA PIEVE,5,Cinema/teatro/spettacoli,450
PO,CANTAGALLO,PARROCCHIA SANTA CATERINA,VIA BOLOGNA,285,Scuola,796
PO,CARMIGNANO,COMUNE DI POGGIO A CAIANO MAGAZZINO COMUNALE,VIA DEL GRANAIO,1,Magazzino,0
PO,MONTEMURLO,COMUNE DI MONTEMURLO,TOSCANINI,1,Ufficio aperto al pubblico,1800
PO,MONTEMURLO,COMUNE DI MONTEMURLO,FRATELLI ROSSELLI,"",Impianto sportivo,0
PO,PRATO,POSTE ITALIANE S.p.A.,VIA ALIGHIERO DA BELLINCIONE,15,Ufficio aperto al pubblico,231
PO,PRATO,FIDIAS MANIFATTURE TESSILI S.P.A.,via Gestri,4/6,IMPIANTO INDUSTRIALE,""
PO,PRATO,IMPIANTI SPORTIVI: CAMPO SPORTIVO G.SCIREA,TIRSO,7,spogliatoi,14
PO,PRATO,Tintoria Lux srl,via del Molinuzzo,10,IMPIANTO INDUSTRIALE GEN,""
PO,PRATO,SRL,VIA GALCIANESE,34,Capannone industriale,1250
PO,PRATO,BESTE SPA,VIA DEL LAZZERETTO,109,IMPIANTO INDUSTRIALE,""
PO,PRATO,RIFINIZIONE ALAN SPA,Via Toscana,14,IMPIANTO INDUSTRIALE,""
PO,PRATO,SEZIONE DELLA CIRCOSCRIZIONE PRATO NORD,viale Piave,"",Ufficio aperto al pubblico,5000
PO,PRATO,EUROTINTORIA S.P.A.,via dei Fossi,14,IMPIANTO INDUSTRIALE,""
PO,PRATO,JERSEY MODE S.P.A,delle Fonti,384/b,IMPIANTO INDUSTRIALE,""
PO,PRATO,Tintoria Silli SPA,Via Galcianese,23,IMPIANTO INDUSTRIALE GEN,""
PO,PRATO,BANCA BIPOP CARIRE,PIAZZA S. ANTONIO,1,Ufficio,0
PO,VERNIO,IMPIANTI SPORTIVI: MIDAS PALESTRA,VIA ROMA,183,Impianto sportivo,547
