provincia,comune,Ragione sociale,indirizzo,civico,destinazione,sup_coperta
AR,AREZZO,IMPIANTI SPORTIVI: PISCINA,DEL PANTANO,24,Impianto sportivo,0
AR,AREZZO,PARROCCHIA SANTA MARIA IN GRADI,VIA CHIASSAIA,18/22,pertinenza luogo di culto,999
AR,AREZZO,PREFETTURA DI AREZZO,PIAZZA POGGIO DEL SOLE,1,Ufficio aperto al pubblico,5000
AR,AREZZO,PARROCCHIA SAN MARCO ALLA SELLA,VIA ROMANA,"",Magazzino,52
AR,AREZZO,IMPIANTI SPORTIVI: CAMPO CALCIO,PATRIGNONE,"",Impianto sportivo,220
AR,AREZZO,IMPIANTI SPORTIVI: MICHELANGELO BUONARROTI,PIAZZA DEL POPOLO,6,Scuola,0
AR,AREZZO,CASA DI RIPOSO V. FOSSOMBRONI,P.TA FAENZI,2,casa di cura,2500
AR,BIBBIENA,POSTE ITALIANE S.p.A.,PIAZZA GUALCHIERE,21,Ufficio aperto al pubblico,222
AR,BIBBIENA,IMPIANTI SPORTIVI: BOCCIODROMO A.SASSOLI,PIAZZA RESISTENZA,1,Impianto sportivo,150
AR,BIBBIENA,baraclit spa,SS.71 LOCALITA' PIANACCI,19,SITO DISMESSO,""
AR,BUCINE,POSTE ITALIANE S.p.A.,VIA XXV APRILE,1,Ufficio aperto al pubblico,125
AR,CAPOLONA,POSTE ITALIANE S.p.A.,VIA DANTE ALIGHIERI,10,Ufficio aperto al pubblico,196
AR,CASTEL FOCOGNANO,POSTE ITALIANE S.p.A.,VIA FIRENZE,1,Ufficio aperto al pubblico,222
AR,CASTEL SAN NICCOLO',COMUNE DI CASTEL SAN NICCOLO',PONTE DEL RIO,"",Impianto sportivo,240
AR,CASTEL SAN NICCOLO',COMUNE DI CASTEL SAN NICCOLO',PONTE DEL RIO,"",Magazzino,160
AR,CASTELFRANCO DI SOPRA,POSTE ITALIANE S.p.A.,VIA ARETINA,10,Ufficio aperto al pubblico,125
AR,CASTIGLION FIBOCCHI,POSTE ITALIANE S.p.A.,VIALE EUROPA,2,Ufficio aperto al pubblico,125
AR,CASTIGLION FIORENTINO,SADAM CASTIGLIONESE SPA,MANCIANO,68/H,IMPIANTO INDUSTRIALE,""
AR,CHIUSI DELLA VERNA,COMUNE DI CHIUSI DELLA VERNA,EUROPA,48,Ufficio aperto al pubblico,220
AR,CHIUSI DELLA VERNA,ex sacci,"LOC. CORSALONE STRADA REGIONALE 71","",SITO DISMESSO,""
AR,CHIUSI DELLA VERNA,ISTITUTO SUORE TERZIARIE FRANCESCANE,COMUNALE DI VEZZANO,82,convento,580
AR,CIVITELLA IN VAL DI CHIANA,IMPIANTI SPORTIVI: CAMPO CALCIO,VIA DEL SEMBOLINO,4,Impianto sportivo,10000
AR,CORTONA,POSTE ITALIANE S.p.A.,VIA FOSSE ARDEATINE,16,Ufficio aperto al pubblico,125
AR,CORTONA,LA FERROVIARIA ITALIANA SPA SERVICE srl,S. EUSEBIO,16/A,Autorimessa,2897
AR,LATERINA,FORNACI BAGLIONI SRL,via valdascione,37,IMPIANTO INDUSTRIALE,""
provincia,comune,Ragione sociale,indirizzo,civico,destinazione,sup_coperta
AR,LORO CIUFFENNA,POSTE ITALIANE S.p.A.,VIA GRUISSAN,"",Ufficio aperto al pubblico,125
AR,LUCIGNANO,POSTE ITALIANE S.p.A.,VIA SENESE,2,Ufficio aperto al pubblico,196
AR,MONTEVARCHI,POSTE ITALIANE S.p.A.,VIA SANTE TANI,26,Ufficio aperto al pubblico,567
AR,MONTEVARCHI,POSTE ITALIANE S.p.A.,VIA VENEZIA,2,Ufficio aperto al pubblico,125
AR,MONTEVARCHI,IMPIANTI SPORTIVI: MAGIOTTI,G. MARCONI,7/A,Impianto sportivo,400
AR,MONTEVARCHI,"IMPIANTI SPORTIVI: CIRCOLO CULTURALE RICREATIVO PESTELLO",VIA MINCIO,44,Esercizio commerciale,500
AR,PERGINE VALDARNO,SCUOLA MEDIA PERGINE,VECCHIA ARETINA,"",Impianto sportivo,10000
AR,PERGINE VALDARNO,SCUOLA MEDIA PERGINE,F.LLI BANDIERA,27,Scuola,300
AR,PERGINE VALDARNO,SCUOLA MEDIA PERGINE,VALLELUNGA,41,CENTRO SOCIO CULTURALE,400
AR,PERGINE VALDARNO,SCUOLA MEDIA PERGINE,PIAZZA DEL COMUNE,29,Ufficio aperto al pubblico,250
AR,PERGINE VALDARNO,SCUOLA MEDIA PERGINE,VIA CAVOUR,37,Scuola,1000
AR,PERGINE VALDARNO,SCUOLA MEDIA PERGINE,VIA CINECITTA',2,Scuola,1000
AR,PIAN DI SCO,COMUNE DI PIAN DI SCO,PIAZZA INDIPENDENZA,5,Magazzino,616
AR,PIAN DI SCO,COMUNE DI PIAN DI SCO,P.ZZA DEL MUNICIPIO,3,Ufficio aperto al pubblico,234.39
AR,POPPI,UFFICIO TERRITORIALE PER LA BIODIVERSITA',FANGACCI,2,alloggio e foresteria,0
AR,POPPI,UFFICIO TERRITORIALE PER LA BIODIVERSITA',NAZIONALE,14,alloggio di servizio,0
AR,POPPI,UFFICIO TERRITORIALE PER LA BIODIVERSITA',COTOZZO,"",rifugio,24
AR,POPPI,UFFICIO TERRITORIALE PER LA BIODIVERSITA',RIFUGIO SECCHIETA,"",rifugio,20
AR,POPPI,UFFICIO TERRITORIALE PER LA BIODIVERSITA',MONTANINO,"",Condominio,140
AR,POPPI,UFFICIO TERRITORIALE PER LA BIODIVERSITA',FANGACCI,1,rifugio,0
AR,POPPI,UFFICIO TERRITORIALE PER LA BIODIVERSITA',MANDRIOLI,5,abitazione,0
AR,POPPI,UFFICIO TERRITORIALE PER LA BIODIVERSITA',METALETO,"",Magazzino,32
AR,POPPI,UFFICIO TERRITORIALE PER LA BIODIVERSITA',FIUME D ISOLA,"",alloggi di servizio,0
AR,POPPI,UFFICIO TERRITORIALE PER LA BIODIVERSITA',METALETO,"",Condominio,170
AR,PRATOVECCHIO,UFFICIO TERRITORIALE PER LA BIODIVERSITA',PRATO ALLE COGNE,"",Condominio,320
provincia,comune,Ragione sociale,indirizzo,civico,destinazione,sup_coperta
AR,SAN GIOVANNI VALDARNO,"COMUNE DI SAN GIOVANNI VALDARNO ASSESSORATO AI LAVORI PUBBLICI E SERVIZI TECNICI CANTIERE",VIA PONTE ALLE FORCHE,"",Capannone industriale,500
AR,SAN GIOVANNI VALDARNO,TOSCANA ENERGIA SPA (ex TOSCANA GAS SPA),GADDA,"",impianto di riduzione gas metano,90
AR,SAN GIOVANNI VALDARNO,PARROCCHIA SANTISSIMI PIETRO E PAOLO,VIA I MAGGIO,15,Luogo di culto,90
AR,SANSEPOLCRO,Direzione Didattica Statale Sansepolcro,LARGO MONS. LIEGRO,"",Scuola,0
AR,SANSEPOLCRO,Direzione Didattica Statale Sansepolcro,PIAZZA SANTA CHIARA,5,Scuola,0
AR,SANSEPOLCRO,Direzione Didattica Statale Sansepolcro,VIA ANTONY CLARKE,"",Scuola,0
AR,SANSEPOLCRO,Direzione Didattica Statale Sansepolcro,"FRAZ. VANNOCCHIA, GRAGNANO","",Scuola,350
