provincia,comune,Ragione sociale,indirizzo,civico,destinazione,sup_coperta
GR,ARCIDOSSO,(PROPRIETA' COMUNALE),LOC. AIOLE,"",SITO DISMESSO,""
GR,ARCIDOSSO,RETE AUTOMOBILISTICA MAREMMANA AMIATINA SPA,PARCO DONATORI DEL SANGUE,70,Impianto industriale,1050
GR,CASTEL DEL PIANO,POSTE ITALIANE S.p.A.,VIA SANTUCCI,6,Ufficio aperto al pubblico,196
GR,CASTELL'AZZARA,(PROPRIETA' COMUNALE),LOC. MORONE,"",SITO DISMESSO,""
GR,CASTIGLIONE DELLA PESCAIA,POSTE ITALIANE S.p.A.,VIA GIUSEPPE PAOLINI,4,Ufficio aperto al pubblico,350
GR,CASTIGLIONE DELLA PESCAIA,LAVORI PUBBLICI,V.LE KENNEDY,"",Scuola,0
GR,FOLLONICA,POSTE ITALIANE S.p.A.,VIA SAN GOLINO,1,Ufficio aperto al pubblico,818
GR,FOLLONICA,FOLLONICA - INDIRIZZI DI STUDI: ISTITUTO TECNICO,VIALE EUROPA,1,Scuola,1990
GR,FOLLONICA,IMPIANTI SPORTIVI: IPPODROMO DEI PINI,VIA MASSETANA,"",ippodromo,0
GR,FOLLONICA,UFFICIO TERRITORIALE PER LA BIODIVERSITA',BICOCCHI,2,LOCALI AD USO BAGNI SCUOLA,41
GR,FOLLONICA,IMPIANTI SPORTIVI: CLUB NAUTICO - C.P. 169,VIALE ITALIA,"",Impianto sportivo,102.81
GR,FOLLONICA,UFFICIO TERRITORIALE PER LA BIODIVERSITA',BICOCCHI,2,FALEGNAMERIA,202
GR,FOLLONICA,UFFICIO TERRITORIALE PER LA BIODIVERSITA',BICOCCHI,2,0fficina,138
GR,FOLLONICA,ATM SPA,DELL' INDUSTRIA,44,Autorimessa,300
GR,FOLLONICA,Gruppo Dilettantistico Vela L.N.I.,VIALE ITALIA,203,sede circolo velico,100
GR,FOLLONICA,CIRCOLO DIDATTICO DI FOLLONICA,VARSAVIA,5,Scuola,2858
GR,GAVORRANO,COMUNE DI GAVORRANO,GAVORRANO,5,centro sociale,298
GR,GAVORRANO,COMUNE DI GAVORRANO,ROMA RAVI,"",Cinema/teatro/spettacoli,470
GR,GAVORRANO,COMUNE DI GAVORRANO,MORANDI BAGNO DI GAVORRANO,2,Impianto sportivo,27500
GR,GAVORRANO,COMUNE DI GAVORRANO,DELLA PALESTRA,"",W.C. PUBBLICI,60
GR,GAVORRANO,COMUNE DI GAVORRANO,CURIEL BAGNO DI GAVORRANO,6,centrogiovani,370
GR,GAVORRANO,COMUNE DI GAVORRANO,DI GAVORRANO,20,Impianto sportivo,2470
GR,GAVORRANO,COMUNE DI GAVORRANO,PIAZZA BUOZZI,16,Ufficio aperto al pubblico,1070
GR,GAVORRANO,COMUNE DI GAVORRANO,OMBRONE POTASSA,7,centro sociale-ambulatorio,170
GR,GAVORRANO,COMUNE DI GAVORRANO,GIUSTI,38,centro sociale-ambulatorio,115
GR,GAVORRANO,COMUNE DI GAVORRANO,PIAZZA XXIV MAGGIO,1,Ufficio aperto al pubblico,273
GR,GAVORRANO,COMUNE DI GAVORRANO,DELLA FINORIA,"",Impianto sportivo,45
GR,GAVORRANO,COMUNE DI GAVORRANO,NENNI,2,Scuola,340
GR,GAVORRANO,COMUNE DI GAVORRANO,MATTEOTTI,20,Cinema/teatro/spettacoli,550
GR,GAVORRANO,SCUOLA MEDIA G. BANDI,DELLE SCUOLE,14,Scuola,2220
GR,GROSSETO,RETE AUTOMOBILISTICA MAREMMANA AMIATINA SPA,VIA TOPAZIO,12,Impianto industriale,3760
GR,GROSSETO,arpat,FIUME,35,uffici e laboratori,0
GR,GROSSETO,SAN LORENZO LATERIZI SRL,SCANSANESE,202,IMPIANTO INDUSTRIALE,""
GR,GROSSETO,ISTITUTO TECNICO COMMERCIALE,VIA SICILIA,45,Scuola,0
GR,GROSSETO,PARROCCHIA DEL SACRO CUORE,PIAZZA GALEAZZI,1,Luogo di culto,0
GR,ISOLA DEL GIGLIO,COMUNE DI ISOLA DEL GIGLIO,VIA DELLA CISTERNA,1,Magazzino,26
GR,ISOLA DEL GIGLIO,COMUNE DI ISOLA DEL GIGLIO,VIA TRENTO,2,EDIFICIO DEMOLITO EX SCUOLA,50
GR,ISOLA DEL GIGLIO,COMUNE DI ISOLA DEL GIGLIO,CAMPESE,1,Ufficio aperto al pubblico,85
GR,MAGLIANO IN TOSCANA,STAZIONE CARABINIERI,VIA IV NOVEMBRE,12,Ufficio aperto al pubblico,300
GR,MASSA MARITTIMA,UFFICIO TERRITORIALE PER LA BIODIVERSITA',DARIO,"",TETTOIA PER CAPRE,118
GR,MASSA MARITTIMA,ISTITUTO TECNICO INDUSTRIALE B. LOTTI,VIA MARTIRI DELLA NICCIOLETA,1,Scuola,0
provincia,comune,Ragione sociale,indirizzo,civico,destinazione,sup_coperta
GR,MASSA MARITTIMA,UFFICIO TERRITORIALE PER LA BIODIVERSITA',DARIO,"",PORCILAIA,780
GR,MASSA MARITTIMA,UFFICIO TERRITORIALE PER LA BIODIVERSITA',DARIO,"",PORCILAIA,702
GR,MASSA MARITTIMA,UFFICIO TERRITORIALE PER LA BIODIVERSITA',DARIO,"",PORCILAIA,76
GR,MASSA MARITTIMA,UFFICIO TERRITORIALE PER LA BIODIVERSITA',DARIO,"",MANGIMIFICIO,231
GR,MASSA MARITTIMA,UFFICIO TERRITORIALE PER LA BIODIVERSITA',MARSILIANA,"",STALLA PER BOVINI,3895
GR,MASSA MARITTIMA,UFFICIO TERRITORIALE PER LA BIODIVERSITA',MARSILIANA,"",OFFICINA MECCANICA,141
GR,MASSA MARITTIMA,UFFICIO TERRITORIALE PER LA BIODIVERSITA',MARSILIANA,"",TETTOIA,170
GR,MASSA MARITTIMA,UFFICIO TERRITORIALE PER LA BIODIVERSITA',MARSILIANA,"",TORRETTA BELVEDERE,30
GR,MASSA MARITTIMA,UFFICIO TERRITORIALE PER LA BIODIVERSITA',IMPOSTO DI CAFAGGIOLO,"",Magazzino,86
GR,MASSA MARITTIMA,PENSIONATO SAN GIUSEPPE,VIALE GRAMSCI,7,abitazione,53
GR,MONTE ARGENTARIO,POSTE ITALIANE S.p.A.,VIA CAMPAGNATICO,1,Ufficio aperto al pubblico,222
GR,MONTEROTONDO MARITTIMO,Enel - Unità territoriale di Lago,S. Edoardo 2 - Limite conc.,"",IMPIANTO GEOTERMIA,""
GR,MONTEROTONDO MARITTIMO,Enel - Unità territoriale di Lago,Nodo 4 - Nodo 5,"",IMPIANTO GEOTERMIA,""
GR,MONTEROTONDO MARITTIMO,Enel - Unità territoriale di Lago,Nodo 15 - Nodo 16,"",IMPIANTO GEOTERMIA,""
GR,MONTEROTONDO MARITTIMO,Enel - Unità territoriale di Lago,Diga 3 - Nodo 6,"",IMPIANTO GEOTERMIA,""
GR,MONTEROTONDO MARITTIMO,Enel - Unità territoriale di Lago,Monterot. 21 - Nodo 4,"",IMPIANTO GEOTERMIA,""
GR,MONTEROTONDO MARITTIMO,Enel - Unità territoriale di Lago,Nodo 3 - Nodo 4,"",IMPIANTO GEOTERMIA,""
GR,MONTEROTONDO MARITTIMO,Enel - Unità territoriale di Lago,Nodo 1 - Nodo 2,"",IMPIANTO GEOTERMIA,""
GR,MONTEROTONDO MARITTIMO,Enel - Unità territoriale di Lago,lago 3 - nodo 3,"",IMPIANTO GEOTERMIA,""
GR,MONTEROTONDO MARITTIMO,Enel - Unità territoriale di Lago,Lago 128 - Nodo 7,"",IMPIANTO GEOTERMIA,""
GR,MONTEROTONDO MARITTIMO,Enel - Unità territoriale di Lago,S.Edoardo 1 - Nodo 2,"",IMPIANTO GEOTERMIA,""
GR,MONTEROTONDO MARITTIMO,Enel - Unità territoriale di Lago,Lago 127 - Nodo 6,"",IMPIANTO GEOTERMIA,""
GR,MONTEROTONDO MARITTIMO,Enel - Unità territoriale di Lago,Diga - Nodo 5,"",IMPIANTO GEOTERMIA,""
GR,MONTEROTONDO MARITTIMO,Enel - Unità territoriale di Lago,Tassinaie - Nodo 4,"",IMPIANTO GEOTERMIA,""
GR,MONTEROTONDO MARITTIMO,Enel - Unità territoriale di Lago,Convento - Nodo 3,"",IMPIANTO GEOTERMIA,""
GR,MONTEROTONDO MARITTIMO,Enel - Unità territoriale di Lago,Nodo 7 - Nodo 88,"",IMPIANTO GEOTERMIA,""
GR,MONTEROTONDO MARITTIMO,Enel - Unità territoriale di Lago,Nodo 2 - Limite concess.,"",IMPIANTO GEOTERMIA,""
GR,MONTEROTONDO MARITTIMO,Enel - Unità territoriale di Lago,Nodo 5 - Nodo 6,"",IMPIANTO GEOTERMIA,""
GR,MONTEROTONDO MARITTIMO,Enel - Unità territoriale di Lago,Fattoria 1 - Nodo 2,"",IMPIANTO GEOTERMIA,""
GR,MONTEROTONDO MARITTIMO,Enel - Unità territoriale di Lago,Limite conc. - Nodo 1 parte 2,"",IMPIANTO GEOTERMIA,""
GR,MONTEROTONDO MARITTIMO,Enel - Unità territoriale di Lago,Limite conc. - Nodo 1 parte 1,"",IMPIANTO GEOTERMIA,""
GR,MONTEROTONDO MARITTIMO,Enel - Unità territoriale di Lago,Lago 7 - Nodo 15,"",IMPIANTO GEOTERMIA,""
GR,MONTEROTONDO MARITTIMO,Enel - Unità territoriale di Lago,Nodo 6 - Nodo 7,"",IMPIANTO GEOTERMIA,""
GR,ORBETELLO,RETE AUTOMOBILISTICA MAREMMANA AMIATINA SPA,SCALO,"",Impianto industriale,1250
GR,ORBETELLO,POSTE ITALIANE S.p.A.,VIA PIETRO ALDI,30,Ufficio aperto al pubblico,125
