provincia,comune,Ragione sociale,indirizzo,civico,destinazione,sup_coperta
MS,AULLA,SCUOLA MEDIA ISTITUTO COMPRENSIVO ALIGHIERI,D. ALIGHIERI,"",Scuola,600
MS,AULLA,MUNIZIONAMENTO AVANZATO,DEL CERRETO,53,Alloggio di servizio,200
MS,AULLA,MUNIZIONAMENTO AVANZATO,DEL CERRETO,53,Alloggio di servizio,600
MS,AULLA,MUNIZIONAMENTO AVANZATO,VIA DEL CERRETO,53,Capannone industriale,1000
MS,AULLA,MUNIZIONAMENTO AVANZATO,VIA DEL CERRETO,53,ufficio / autorimessa,800
MS,AULLA,MUNIZIONAMENTO AVANZATO,DEL CERRETO,53,Capannone industriale,400
MS,AULLA,MUNIZIONAMENTO AVANZATO,VIA DEL CERRETO,53,Ufficio,290
MS,AULLA,MUNIZIONAMENTO AVANZATO,DEL CERRETO,53,Capannone industriale,1000
MS,AULLA,MUNIZIONAMENTO AVANZATO,DEL CERRETO,53,Impianto industriale,93
MS,AULLA,MUNIZIONAMENTO AVANZATO,DEL CERRETO,53,Capannone industriale,1000
MS,AULLA,MUNIZIONAMENTO AVANZATO,DEL CERRETO,53,Capannone industriale,188
MS,AULLA,MUNIZIONAMENTO AVANZATO,DEL CERRETO,53,Capannone industriale,300
MS,AULLA,MUNIZIONAMENTO AVANZATO,VIA DEL CERRETO,53,Magazzino,140
MS,AULLA,MUNIZIONAMENTO AVANZATO,DEL CERRETO,53,Capannone industriale,200
MS,AULLA,MUNIZIONAMENTO AVANZATO,DEL CERRETO,53,Magazzino,136
MS,AULLA,MUNIZIONAMENTO AVANZATO,DEL CERRETO,53,Magazzino,656
MS,AULLA,MUNIZIONAMENTO AVANZATO,DEL CERRETO,53,Magazzino,307
MS,AULLA,MUNIZIONAMENTO AVANZATO,DEL CERRETO,53,Magazzino,136
MS,AULLA,MUNIZIONAMENTO AVANZATO,DEL CERRETO,53,Magazzino,136
MS,AULLA,MUNIZIONAMENTO AVANZATO,DEL CERRETO,53,Magazzino,136
MS,AULLA,MUNIZIONAMENTO AVANZATO,DEL CERRETO,53,Magazzino,136
MS,AULLA,MUNIZIONAMENTO AVANZATO,DEL CERRETO,53,Magazzino,30
MS,AULLA,MUNIZIONAMENTO AVANZATO,DEL CERRETO,53,Magazzino,40
MS,AULLA,MUNIZIONAMENTO AVANZATO,DEL CERRETO,53,Magazzino,40
