provincia,comune,Ragione sociale,indirizzo,civico,destinazione,sup_coperta
PT,AGLIANA,POSTE ITALIANE S.p.A.,VIA GIUSEPPE MAZZINI,11,Ufficio aperto al pubblico,340
PT,CHIESINA UZZANESE,POSTE ITALIANE S.p.A.,VIA FILIPPO TURATI,6,Ufficio aperto al pubblico,177
PT,CHIESINA UZZANESE,BANCA DI CREDITO COOPERATIVO DI ALBERGHI,VIA G. GARIBALDI,19,Ufficio aperto al pubblico,210
PT,CHIESINA UZZANESE,IMPIANTI SPORTIVI: ARABESQUE,LIVORNESE DI SOTTO,27,scuola di danza,0
PT,CUTIGLIANO,COMUNE DI CUTIGLIANO DEPOSITO AUTOMEZZI,BRENNERO,"",Magazzino,350
PT,LAMPORECCHIO,SCUOLA MATERNA MASTROMARCO,P.ZZA LA MARMORA,1,Scuola,0
PT,LAMPORECCHIO,SCUOLA MATERNA MASTROMARCO,VIA L. DA VINCI,88,Scuola,0
PT,LAMPORECCHIO,SCUOLA MATERNA MASTROMARCO,PIAZZA F. BERNI,1,SEDE COMUNE,0
PT,LARCIANO,POSTE ITALIANE S.p.A.,VIA PUCCINI,57,Ufficio aperto al pubblico,276
PT,MARLIANA,IMPIANTI SPORTIVI: PALESTRA COMUNALE MARLIANA,DELLE LOMBARDINE,"",palestra comunale,500
PT,MASSA E COZZILE,POSTE ITALIANE S.p.A.,PIAZZA VIII MARZO,1,Ufficio aperto al pubblico,210
PT,MONSUMMANO TERME,COMUNE DI MONSUMMANO TE ME,VIA LORENZO VENTAVOLI,3,Ufficio aperto al pubblico,0
PT,MONSUMMANO TERME,COMUNE DI MONSUMMANO TERME,VIA ROMANI SERENO,17,cimitero,0
PT,MONSUMMANO TERME,VALDINIEVOLE,VIA CELIO BOTTAI,8,sala giochi,1600
PT,MONSUMMANO TERME,PASCHI GESTIONI IMMOBILIARI SpA,PIAZZA MARTINI FERDINANDO,8,Ufficio aperto al pubblico,0
PT,MONTALE,COMUNE DI MONTALE,VIA I MAGGIO,52,Magazzino,240
PT,MONTALE,COMUNE DI MONTALE,ANTONIO PACINOTTI,36,Scuola,604
PT,MONTALE,COMUNE DI MONTALE,VIA A. GRAMSCI,19,Ufficio aperto al pubblico,1200
PT,MONTALE,COMUNE DI MONTALE,GASPARE LUIGI SPONTINI,48,Spazio culturale,389
PT,MONTALE,COMUNE DI MONTALE,VIA A. PACINOTTI,44,Scuola,589
PT,MONTECATINI-TERME,CASA DI RIPOSO SAN FRANCESCO,VIA A. FARINATI,11,casa di riposo,700
PT,MONTECATINI-TERME,DOMINI,MARRUOTA,107,Impianto sportivo,300
PT,PESCIA,ISTITUTO MAGISTRALE C. LORENZINI,SISMONDI,7,Scuola,0
PT,PESCIA,POSTE ITALIANE S.p.A.,VIA DELLE ROSE,26,Ufficio aperto al pubblico,276
PT,PESCIA,ISTITUTO MAGISTRALE C. LORENZINI,PIAZZA LEONARDO DA VINCI,12,Scuola,0
PT,PESCIA,SAINT GOBAIN VETRI SPA,VIA CONFINE MONTECARLO,11,IMPIANTO INDUSTRIALE,""
PT,PESCIA,SAINT GOBAIN VETRI SPA,VIA CONFINE MONTECARLO,11,IMPIANTO INDUSTRIALE,""
PT,PESCIA,SCA HYGIENE PRODUCTS SPA,via delle Cartiere,13,IMPIANTO INDUSTRIALE,""
PT,PESCIA,BIBLIOTECA DEL CONVENTO DI COLLEVITI,VIA DEI COLLEVITI,33,comunita',5000
PT,PESCIA,SAINT GOBAIN VETRI SPA,CONFINE MONTECARLO,11,IMPIANTO INDUSTRIALE,""
PT,PESCIA,SAINT GOBAIN VETRI SPA,CONFINE MONTECARLO,11,IMPIANTO INDUSTRIALE,""
PT,PESCIA,SAINT GOBAIN VETRI SPA,CONFINE MONTECARLO,11,IMPIANTO INDUSTRIALE,""
PT,PIEVE A NIEVOLE,ACCOGLIENZA BETANIA,VIA MARTIRI DEL PADULE,"",locali parrocchiali,300
PT,PIEVE A NIEVOLE,Comun Pieve a Nievole,VIA MARCONI,271,Ufficio aperto al pubblico,250
PT,PIEVE A NIEVOLE,DANZA,VIA DON MINZONI,19,"DANZA,TEATRO,MUSICA",320
PT,PIEVE A NIEVOLE,FANCIULLACCI,COSIMINI,22,Impianto sportivo,900
PT,PISTOIA,EINAUDI DESTINAZIONE D'USO: SCUOLA,PACINOTTI,11,Scuola,0
PT,PISTOIA,ENTE PUBBLICO,VIA ROSSI,23,Scuola,503
PT,PISTOIA,IMPIANTI SPORTIVI: STADIO COMUNALE,DELLO STADIO,1,Impianto sportivo,1700
PT,PISTOIA,PUBLIAMBIENTE,VIA TOSCANA,259,"",4500
PT,PISTOIA,area ex breda est2,VIA DELLE CILIEGIOLE,"",SITO DISMESSO,""
provincia,comune,Ragione sociale,indirizzo,civico,destinazione,sup_coperta
PT,PISTOIA,IMPIANTI SPORTIVI: CAMPO DI CALCIO E.TURCHI,DI VALDIBRANA,"",Impianto sportivo,90
PT,PISTOIA,arpat,DEI BARONI,18,edificio per uffici e laboratori,0
PT,PISTOIA,TOSCANA ENERGIA SPA (ex TOSCANA GAS SPA),DELLA CASTAGNOLA,"",impianto di riduzione gas metano,70
PT,PISTOIA,TOSCANA ENERGIA SPA (ex TOSCANA GAS SPA),CILIEGIOLE CAMPO DI VOLO,"",impianto di riduzione gas metano,122
PT,PISTOIA,TOSCANA ENERGIA SPA (ex TOSCANA GAS SPA),ROMITO E SERPE,"",impianto di riduzione di gas metano,130
PT,PONTE BUGGIANESE,PASCHI GESTIONI IMMOBILIARI SpA,VIA LIBERTA',61,Ufficio aperto al pubblico,0
PT,QUARRATA,POSTE ITALIANE S.p.A.,VIA SELVA,350,Ufficio aperto al pubblico,125
PT,SAMBUCA PISTOIESE,STAZIONE CARABINIERI,PAVANA,38,caserma carabinieri,618
PT,SAMBUCA PISTOIESE,UFFICIO TERRITORIALE PER LA BIODIVERSITA',VIA MONACHINO,12,area con fabbricati dismessi,0
PT,SAN MARCELLO PISTOIESE,STAZIONE CARABINIERI,VIALE LUIGI ORLANDO,83,CASERMA CARABINIERI,452
PT,SERRAVALLE PISTOIESE,PASCHI GESTIONI IMMOBILIARI SpA,CASALGUIDI,5,Ufficio aperto al pubblico,0
