provincia,comune,Ragione sociale,indirizzo,civico,destinazione,sup_coperta
SI,ABBADIA SAN SALVATORE,eni spa divisione agip,VIA F. HAMMAN,"",SITO DISMESSO,""
SI,ABBADIA SAN SALVATORE,GEOMETRI,VIA DELLE CASE NUOVE,27,Scuola,0
SI,ABBADIA SAN SALVATORE,PASCHI GESTIONI IMMOBILIARI SpA,VIA TRENTO,23,Ufficio aperto al pubblico,0
SI,ASCIANO,POSTE ITALIANE S.p.A.,VIA ROMA,76,Ufficio aperto al pubblico,205
SI,ASCIANO,COMUNE DI ASCIANO,VIA SANT'AGATA,"",Magazzino,700
SI,ASCIANO,COMUNE DI ASCIANO,ARBIA,"",Magazzino,200
SI,ASCIANO,BANCASCIANO CREDITO COOPERATIVO SOC COOP,GIARDINO,"",Magazzino,255
SI,BUONCONVENTO,POSTE ITALIANE S.p.A.,VIA BIBBIANO,"",Ufficio aperto al pubblico,205
SI,CASOLE D'ELSA,casa maver costruzioni di venier mauro,LOCALITA' IL MERLO,"",SITO DISMESSO,""
SI,CASTELLINA IN CHIANTI,POSTE ITALIANE S.p.A.,VIA CHIANTIGIANA,13,Ufficio aperto al pubblico,133
SI,CHIANCIANO TERME,POSTE ITALIANE S.p.A.,PIAZZA ITALIA,19,Ufficio aperto al pubblico,592
SI,CHIANCIANO TERME,SCUOLA ELEMENTARE,DANTE,33,Scuola,3611
SI,CHIUSDINO,COMUNE DI CHIUSDINO,PIAZZA DEL PLEBISCITO,2,Ufficio aperto al pubblico,150
SI,CHIUSDINO,COMUNE DI CHIUSDINO,PIAZZA MATTEOTTI,"",Scuola,330
SI,CHIUSDINO,COMUNE DI CHIUSDINO,PALAZZETTO,"",ex scuola,160
SI,CHIUSDINO,COMUNE DI CHIUSDINO,LIDO SANTINI,12,tettoia,30
SI,CHIUSDINO,COMUNE DI CHIUSDINO,LE VENE,"",Capannone industriale,370
SI,CHIUSDINO,PASCHI GESTIONI IMMOBILIARI SpA,PIAZZA GIACOMO MATTEOTTI,32,Ufficio aperto al pubblico,0
SI,CHIUSI,POSTE ITALIANE S.p.A.,VIA MAZZINI,3,Ufficio aperto al pubblico,366
SI,COLLE DI VAL D'ELSA,MUSEO CIVICO E DIOCESANO D`ARTE SACRA,VIA DEL CASTELLO,31,SOTTOTETTO,0
SI,COLLE DI VAL D'ELSA,new colle srl,VIA MASSON/VIA LIVINI,"",SITO DISMESSO,""
SI,COLLE DI VAL D'ELSA,ECOLOGICA,STRADA DELLE LELLERE,2,Capannone industriale,0
SI,COLLE DI VAL D'ELSA,COMUNE DI COLLE DI VAL D'ELSA,F. CAMPANA,18,Ufficio aperto al pubblico,0
SI,COLLE DI VAL D'ELSA,STATO,VIALE DEI MILLE,8,Caserma,630
SI,COLLE DI VAL D'ELSA,COMUNE DI COLLE DI VAL D'ELSA,VIA F. CAMPANA,18,SOTTOTETTO,0
SI,COLLE DI VAL D'ELSA,COMUNE DI COLLE DI VAL D'ELSA,VIA F. CAMPANA,18,CENTRALE TERMICA,0
SI,MONTEPULCIANO,PASCHI GESTIONI IMMOBILIARI,PIAZZA MICHELOZZO,2,Ufficio aperto al pubblico,0
SI,MONTERIGGIONI,POSTE ITALIANE S.p.A.,STRADA PROVINCIALE COLLIGIANA,4,Ufficio aperto al pubblico,125
SI,MONTERIGGIONI,POSTE ITALIANE S.p.A.,VIA G.B. COCCONI,"",Ufficio aperto al pubblico,133
SI,MONTERIGGIONI,INDUSTRIE FONDERIE VALDESANE SRL,strada di Gabbricce,6,IMPIANTO INDUSTRIALE,""
SI,MONTERONI D'ARBIA,POSTE ITALIANE S.p.A.,KENNEDY,2,Ufficio aperto al pubblico,205
SI,MONTERONI D'ARBIA,IMPIANTI SPORTIVI: COMPLESSO SPORTIVO,SAN GIUSTO,199,Cinema/teatro/spettacoli,1300
SI,MONTICIANO,PASCHI GESTIONI IMMOBILIARI SpA,VIA AGOSTINO BARAZZUOLI,11,Ufficio aperto al pubblico,0
SI,PIANCASTAGNAIO,ENEL - UnitÃ  territoriale di Piancastagnaio (SI),PC8-PC2,"",IMPIANTO GEOTERMIA,""
SI,PIENZA,bottega verde srl,"km 35,5 ss146","",SITO DISMESSO,""
SI,POGGIBONSI,IMPIANTI SPORTIVI: CAMPO SPORTIVO VIRTUS,SAN GIMIGNANO,"",Impianto sportivo,65
SI,POGGIBONSI,COMUNE DI POGGIBONSI,CIMITERO COMUNALE,"",cimitero,667
SI,POGGIBONSI,COMUNE DI POGGIBONSI,LEOPARDI,"",Magazzino,3300
SI,POGGIBONSI,LE PIAGGIOLE SRL,Le Piaggiole,3,IMPIANTO INDUSTRIALE,""
SI,POGGIBONSI,PASCHI GESTIONI IMMOBILIARI,LARGO USILIA,8,Ufficio aperto al pubblico,1200
SI,RADDA IN CHIANTI,POSTE ITALIANE S.p.A.,CIRCONVALLAZIONE SANTA MARIA,"",Ufficio aperto al pubblico,125
