,provincia,comune,Ragione sociale,indirizzo,civico,destinazione,sup_coperta,geo,coordinate,latitudine,longitudine
0,AR,AREZZO,IMPIANTI SPORTIVI: PISCINA,DEL PANTANO,24,Impianto sportivo,0,AREZZO DEL PANTANO,"(43.6259418, 11.9871433348)",43.6259418,11.9871433348
1,AR,AREZZO,PARROCCHIA SANTA MARIA IN GRADI,VIA CHIASSAIA,18/22,pertinenza luogo di culto,999,AREZZO VIA CHIASSAIA,"(43.4682796, 11.8798932)",43.4682796,11.8798932
2,AR,AREZZO,PREFETTURA DI AREZZO,PIAZZA POGGIO DEL SOLE,1,Ufficio aperto al pubblico,5000,AREZZO PIAZZA POGGIO DEL SOLE,"(43.4629407, 11.8753019)",43.4629407,11.8753019
3,AR,AREZZO,PARROCCHIA SAN MARCO ALLA SELLA,VIA ROMANA,,Magazzino,52,AREZZO VIA ROMANA,"(43.4475016, 11.8610129)",43.4475016,11.8610129
4,AR,AREZZO,IMPIANTI SPORTIVI: CAMPO CALCIO,PATRIGNONE,,Impianto sportivo,220,AREZZO PATRIGNONE,"(43.4997942, 11.8526696)",43.4997942,11.8526696
5,AR,AREZZO,IMPIANTI SPORTIVI: MICHELANGELO BUONARROTI,PIAZZA DEL POPOLO,6,Scuola,0,AREZZO PIAZZA DEL POPOLO,"(43.4644067, 11.8788587)",43.4644067,11.8788587
6,AR,AREZZO,CASA DI RIPOSO V. FOSSOMBRONI,P.TA FAENZI,2,casa di cura,2500,AREZZO P.TA FAENZI,"(43.4700247, 11.8803257326)",43.4700247,11.8803257326
7,AR,BIBBIENA,POSTE ITALIANE S.p.A.,PIAZZA GUALCHIERE,21,Ufficio aperto al pubblico,222,BIBBIENA PIAZZA GUALCHIERE,,,
8,AR,BIBBIENA,IMPIANTI SPORTIVI: BOCCIODROMO A.SASSOLI,PIAZZA RESISTENZA,1,Impianto sportivo,150,BIBBIENA PIAZZA RESISTENZA,,,
9,AR,BIBBIENA,baraclit spa,SS.71 LOCALITA' PIANACCI,19,SITO DISMESSO,,BIBBIENA SS.71 LOCALITA' PIANACCI,,,
10,AR,BUCINE,POSTE ITALIANE S.p.A.,VIA XXV APRILE,1,Ufficio aperto al pubblico,125,BUCINE VIA XXV APRILE,"(43.4773647, 11.6178702)",43.4773647,11.6178702
11,AR,CAPOLONA,POSTE ITALIANE S.p.A.,VIA DANTE ALIGHIERI,10,Ufficio aperto al pubblico,196,CAPOLONA VIA DANTE ALIGHIERI,"(43.5700717, 11.8657448)",43.5700717,11.8657448
12,AR,CASTEL FOCOGNANO,POSTE ITALIANE S.p.A.,VIA FIRENZE,1,Ufficio aperto al pubblico,222,CASTEL FOCOGNANO VIA FIRENZE,"(43.65501, 11.83879)",43.65501,11.83879
13,AR,CASTEL SAN NICCOLO',COMUNE DI CASTEL SAN NICCOLO',PONTE DEL RIO,,Impianto sportivo,240,CASTEL SAN NICCOLO' PONTE DEL RIO,,,
14,AR,CASTEL SAN NICCOLO',COMUNE DI CASTEL SAN NICCOLO',PONTE DEL RIO,,Magazzino,160,CASTEL SAN NICCOLO' PONTE DEL RIO,,,
15,AR,CASTELFRANCO DI SOPRA,POSTE ITALIANE S.p.A.,VIA ARETINA,10,Ufficio aperto al pubblico,125,CASTELFRANCO DI SOPRA VIA ARETINA,"(43.6200527, 11.5561498)",43.6200527,11.5561498
16,AR,CASTIGLION FIBOCCHI,POSTE ITALIANE S.p.A.,VIALE EUROPA,2,Ufficio aperto al pubblico,125,CASTIGLION FIBOCCHI VIALE EUROPA,"(43.5247014, 11.7664035)",43.5247014,11.7664035
17,AR,CASTIGLION FIORENTINO,SADAM CASTIGLIONESE SPA,MANCIANO,68/H,IMPIANTO INDUSTRIALE,,CASTIGLION FIORENTINO MANCIANO,"(43.3360982, 11.881328)",43.3360982,11.881328
18,AR,CHIUSI DELLA VERNA,COMUNE DI CHIUSI DELLA VERNA,EUROPA,48,Ufficio aperto al pubblico,220,CHIUSI DELLA VERNA EUROPA,,,
19,AR,CHIUSI DELLA VERNA,ex sacci,LOC. CORSALONE STRADA REGIONALE 71,,SITO DISMESSO,,CHIUSI DELLA VERNA LOC. CORSALONE STRADA REGIONALE 71,,,
20,AR,CHIUSI DELLA VERNA,ISTITUTO SUORE TERZIARIE FRANCESCANE,COMUNALE DI VEZZANO,82,convento,580,CHIUSI DELLA VERNA COMUNALE DI VEZZANO,,,
21,AR,CIVITELLA IN VAL DI CHIANA,IMPIANTI SPORTIVI: CAMPO CALCIO,VIA DEL SEMBOLINO,4,Impianto sportivo,10000,CIVITELLA IN VAL DI CHIANA VIA DEL SEMBOLINO,"(43.4087119, 11.7834052)",43.4087119,11.7834052
22,AR,CORTONA,POSTE ITALIANE S.p.A.,VIA FOSSE ARDEATINE,16,Ufficio aperto al pubblico,125,CORTONA VIA FOSSE ARDEATINE,"(43.2114263, 12.0093472)",43.2114263,12.0093472
23,AR,CORTONA,LA FERROVIARIA ITALIANA SPA SERVICE srl,S. EUSEBIO,16/A,Autorimessa,2897,CORTONA S. EUSEBIO,,,
24,AR,LATERINA,FORNACI BAGLIONI SRL,via valdascione,37,IMPIANTO INDUSTRIALE,,LATERINA via valdascione,,,
26,AR,LORO CIUFFENNA,POSTE ITALIANE S.p.A.,VIA GRUISSAN,,Ufficio aperto al pubblico,125,LORO CIUFFENNA VIA GRUISSAN,,,
27,AR,LUCIGNANO,POSTE ITALIANE S.p.A.,VIA SENESE,2,Ufficio aperto al pubblico,196,LUCIGNANO VIA SENESE,"(43.2687364, 11.7418081)",43.2687364,11.7418081
28,AR,MONTEVARCHI,POSTE ITALIANE S.p.A.,VIA SANTE TANI,26,Ufficio aperto al pubblico,567,MONTEVARCHI VIA SANTE TANI,"(43.5292088, 11.5671122)",43.5292088,11.5671122
29,AR,MONTEVARCHI,POSTE ITALIANE S.p.A.,VIA VENEZIA,2,Ufficio aperto al pubblico,125,MONTEVARCHI VIA VENEZIA,"(43.4984131, 11.6181652)",43.4984131,11.6181652
30,AR,MONTEVARCHI,IMPIANTI SPORTIVI: MAGIOTTI,G. MARCONI,7/A,Impianto sportivo,400,MONTEVARCHI G. MARCONI,"(43.5185083, 11.5804737)",43.5185083,11.5804737
31,AR,MONTEVARCHI,IMPIANTI SPORTIVI: CIRCOLO CULTURALE RICREATIVO PESTELLO,VIA MINCIO,44,Esercizio commerciale,500,MONTEVARCHI VIA MINCIO,"(43.5167486, 11.5608416)",43.5167486,11.5608416
32,AR,PERGINE VALDARNO,SCUOLA MEDIA PERGINE,VECCHIA ARETINA,,Impianto sportivo,10000,PERGINE VALDARNO VECCHIA ARETINA,"(43.4968017, 11.6595045)",43.4968017,11.6595045
33,AR,PERGINE VALDARNO,SCUOLA MEDIA PERGINE,F.LLI BANDIERA,27,Scuola,300,PERGINE VALDARNO F.LLI BANDIERA,,,
34,AR,PERGINE VALDARNO,SCUOLA MEDIA PERGINE,VALLELUNGA,41,CENTRO SOCIO CULTURALE,400,PERGINE VALDARNO VALLELUNGA,,,
35,AR,PERGINE VALDARNO,SCUOLA MEDIA PERGINE,PIAZZA DEL COMUNE,29,Ufficio aperto al pubblico,250,PERGINE VALDARNO PIAZZA DEL COMUNE,,,
36,AR,PERGINE VALDARNO,SCUOLA MEDIA PERGINE,VIA CAVOUR,37,Scuola,1000,PERGINE VALDARNO VIA CAVOUR,,,
37,AR,PERGINE VALDARNO,SCUOLA MEDIA PERGINE,VIA CINECITTA',2,Scuola,1000,PERGINE VALDARNO VIA CINECITTA',,,
38,AR,PIAN DI SCO,COMUNE DI PIAN DI SCO,PIAZZA INDIPENDENZA,5,Magazzino,616,PIAN DI SCO PIAZZA INDIPENDENZA,,,
39,AR,PIAN DI SCO,COMUNE DI PIAN DI SCO,P.ZZA DEL MUNICIPIO,3,Ufficio aperto al pubblico,234.39,PIAN DI SCO P.ZZA DEL MUNICIPIO,,,
40,AR,POPPI,UFFICIO TERRITORIALE PER LA BIODIVERSITA',FANGACCI,2,alloggio e foresteria,0,POPPI FANGACCI,"(43.8011123, 11.8669748)",43.8011123,11.8669748
41,AR,POPPI,UFFICIO TERRITORIALE PER LA BIODIVERSITA',NAZIONALE,14,alloggio di servizio,0,POPPI NAZIONALE,,,
42,AR,POPPI,UFFICIO TERRITORIALE PER LA BIODIVERSITA',COTOZZO,,rifugio,24,POPPI COTOZZO,"(43.79304, 11.8322477)",43.79304,11.8322477
43,AR,POPPI,UFFICIO TERRITORIALE PER LA BIODIVERSITA',RIFUGIO SECCHIETA,,rifugio,20,POPPI RIFUGIO SECCHIETA,"(43.7973888, 11.8066945)",43.7973888,11.8066945
44,AR,POPPI,UFFICIO TERRITORIALE PER LA BIODIVERSITA',MONTANINO,,Condominio,140,POPPI MONTANINO,"(43.7816301, 11.8084341)",43.7816301,11.8084341
45,AR,POPPI,UFFICIO TERRITORIALE PER LA BIODIVERSITA',FANGACCI,1,rifugio,0,POPPI FANGACCI,"(43.8011123, 11.8669748)",43.8011123,11.8669748
46,AR,POPPI,UFFICIO TERRITORIALE PER LA BIODIVERSITA',MANDRIOLI,5,abitazione,0,POPPI MANDRIOLI,,,
47,AR,POPPI,UFFICIO TERRITORIALE PER LA BIODIVERSITA',METALETO,,Magazzino,32,POPPI METALETO,"(43.788877, 11.8172031)",43.788877,11.8172031
48,AR,POPPI,UFFICIO TERRITORIALE PER LA BIODIVERSITA',FIUME D ISOLA,,alloggi di servizio,0,POPPI FIUME D ISOLA,,,
49,AR,POPPI,UFFICIO TERRITORIALE PER LA BIODIVERSITA',METALETO,,Condominio,170,POPPI METALETO,"(43.788877, 11.8172031)",43.788877,11.8172031
50,AR,PRATOVECCHIO,UFFICIO TERRITORIALE PER LA BIODIVERSITA',PRATO ALLE COGNE,,Condominio,320,PRATOVECCHIO PRATO ALLE COGNE,"(43.8093261, 11.7772687)",43.8093261,11.7772687
52,AR,SAN GIOVANNI VALDARNO,COMUNE DI SAN GIOVANNI VALDARNO ASSESSORATO AI LAVORI PUBBLICI E SERVIZI TECNICI CANTIERE,VIA PONTE ALLE FORCHE,,Capannone industriale,500,SAN GIOVANNI VALDARNO VIA PONTE ALLE FORCHE,,,
53,AR,SAN GIOVANNI VALDARNO,TOSCANA ENERGIA SPA (ex TOSCANA GAS SPA),GADDA,,impianto di riduzione gas metano,90,SAN GIOVANNI VALDARNO GADDA,,,
